category,abbreviation,full_form,english_translation,slovak_translation,german_translation
clinic,v./vv.,vena/venae,vein(s),žila/žily,Vene/Venen
clinic,vent.,ventralis,ventral,ventrálny,ventral
clinic,v.s.,verisimiliter,probably,pravdepodobne,wahrscheinlich

prescription,aa.,ana partes (aequales),"in equal parts, the same amount","v rovnakých častiach","zu gleichen Teilen"
prescription,a.c.,ante cibum,"before meal","pred jedlom","vor dem Essen"
prescription,ac.,acidum / acutus,"acid; acute","kyselina; akútny","Säure; akut"
prescription,ad(d).,adde,"add!","pridaj!","hinzufügen!"
prescription,ad man. med.,ad manus medici,"for doctor's use only","len pre použitie lekárom","nur für ärztliche Anwendung"
prescription,ad scat.,ad scatulum,"into the box","do škatuľky","in die Schachtel"
prescription,ad us. ext.,ad usum externum,"for external use","na vonkajšie použitie","zur äußeren Anwendung"
prescription,ad us. int.,ad usum internum,"for internal use","na vnútorné použitie","zur inneren Anwendung"
prescription,ad vitr.,ad vitrum,"into the bottle","do fľaše","in die Flasche"
prescription,aeq.,aequalis,"equal, the same","rovnaký","gleich"
prescription,aq.,aqua,"water","voda","Wasser"
prescription,aq. dest.,aqua destillata,"distilled water","destilovaná voda","destilliertes Wasser"
prescription,c.,circum,"about, approximately","asi, približne","ungefähr"
prescription,c.f.,cum formula,"with description of composition","s uvedením zloženia","mit Formel"
prescription,caps.,capsula,"capsule","kapsula","Kapsel"
prescription,cito disp.,cito dispensa,"dispense quickly","rýchlo vydať","schnell abgeben"
prescription,comp.,compositus,"compound of","zložený","zusammengesetzt"
prescription,conct.,concentratus,"concentrated","koncentrovaný","konzentriert"
prescription,D./d.,dies / dosis / Da!,"day; dose; Give!","deň; dávka; daj!","Tag; Dosis; Gib!"
prescription,dest.,destillatus,"distilled","destilovaný","destilliert"
prescription,dil.,dilutus,"dilute","zriedený","verdünnt"
prescription,disp.,Dispensa!,"Dispense!","Vydaj!","Abgeben!"
prescription,Div.,Divide!,"Divide!","Rozdeľ!","Teilen!"
prescription,Div. in p. aeq.,Divide in partes aequales!,"Divide into equal parts!","Rozdeľ na rovnaké časti!","In gleiche Teile teilen!"

prescription,D.S.,"Da, signa!","Give and label!","Daj a označ!","Geben und beschriften!"
prescription,D.s.s.v.,Da sub signo veneni!,"Dispense under poison label!","Vydať s označením jedu!","Abgabe mit Giftkennzeichnung!"
prescription,D.t.d.,Da tales doses,"Give such doses","Daj také dávky","Solche Dosen geben"
prescription,efferv.,effervescens,"effervescent","šumivý","brausend"
prescription,exp.orig.,expeditio originalis,"original packing","originálne balenie","Originalverpackung"
prescription,extr.,extractum,"extract","extrakt","Extrakt"
prescription,f.,fiat/fiant,"let it be made","nech sa pripraví","es werde hergestellt"
prescription,f.l.a.,fiat lege artis,"prepare according to rules","pripraviť podľa pravidiel","nach den Regeln herstellen"
prescription,gelat.,gelatum,"jelly","želé","Gelee"
prescription,gtt.,gutta/guttae,"drop(s)","kvapka/y","Tropfen"
prescription,inf.,infusum,"infusion","nálev","Infus"
prescription,l.a.,lege artis,"according to pharmaceutical rules","podľa pravidiel","nach den Regeln"
prescription,lag.,lagoena,"bottle, flask","fľaša","Flasche"
prescription,M.,Misce!,"Mix!","Zmiešaj!","Mischen!"
prescription,massa pil.,massa pilularum,"pill mass","hmota piluliek","Pillenmasse"
prescription,M.f.pulv./plv.,"Misce, fiat pulvis!","Mix to make powder!","Zmiešaj na prášok!","Pulver herstellen!"
prescription,M.f.sol.,"Misce, fiat solutio!","Mix to make solution!","Zmiešaj na roztok!","Lösung herstellen!"
prescription,mixt.,mixtura,"mixture","zmes","Mischung"
prescription,No./№,numero,"in the number of","v počte","in der Anzahl"
prescription,p.aeq.,partes aequales,"equal parts","rovnaké časti","gleiche Teile"
prescription,p.c.,post cibum,"after meal","po jedle","nach dem Essen"
prescription,p.d.,pro dosi,"per dose","na dávku","pro Dosis"
prescription,p.die,pro die,"per day","za deň","pro Tag"
prescription,p.o.,per os,"by mouth, orally","perorálne","oral"
prescription,pro adult.,pro adultis,"for adults","pre dospelých","für Erwachsene"
prescription,pro inf.,pro infantibus,"for children","pre deti","für Kinder"

prescription,pro inj.,pro injectione,"for injection","na injekciu","zur Injektion"
prescription,pro narc.,pro narcosi,"for narcosis","na narkózu","für Narkose"
prescription,pulv./plv.,pulvis,"powder","prášok","Pulver"
prescription,q.s.,quantum satis,"as much as needed","koľko stačí","nach Bedarf"
prescription,rec.,recens,"fresh","čerstvý","frisch"
prescription,Rep./Repet.,Repete!,"Repeat!","Opakuj!","Wiederholen!"
prescription,Rp.,Recipe!,"Take!","Vezmi!","Nimm!"
prescription,S.,Signa!,"Label!","Označ!","Beschriften!"
prescription,s.s.v.,sub signo veneni,"under the label of poison","označiť ako jed","unter Giftkennzeichnung"
prescription,sol.,solutio / solubilis,"solution; soluble","roztok; rozpustný","Lösung; löslich"
prescription,sp./spec.,species,"tea mixture","čajová zmes","Teemischung"
prescription,spir.,spiritus,"spirit, alcohol","lieh","Spiritus"
prescription,supp.,suppositorium,"suppository","čapík","Zäpfchen"
prescription,tbl.,tabuletta,"tablet(s)","tableta/y","Tablette/n"
prescription,t.d.,tales doses,"such doses","takéto dávky","solche Dosen"
prescription,tinct.,tinctura,"tincture","tinktúra","Tinktur"
prescription,ung.,unguentum,"ointment","masť","Salbe"
prescription,us.,usus,"use, usage","použitie","Gebrauch"
prescription,vitr.,vitrum,"bottle, flask","fľaša","Flasche"
