correlation_id,subject,target,relation_type,canonical_terms,direct_synonyms,misspellings,abbreviations,relation_phrases,negative_traps
cc_intercostal_van_costal_groove,inferior border of rib / costal groove,"intercostal vein, artery and nerve",contains_or_protects,"inferior border of rib / costal groove; intercostal vein, artery and nerve; contains or protects; rib; intercostal; VAN; chest tube",rib; costa; rebro; rippe; costal groove; sulcus costae; inferior border of rib; under rib; intercostal; intercostalis; intercostel; intercostal vein artery nerve; VAN bundle; VAN; intercostal neurovascular bundle; vein artery nerve; contains; protected by; runs in groove; under border; VAN order; costal groove contents; safe thoracentesis above rib; intercostal bundle,intercostal; intercostalis; intercostel,VAN,contains; protected by; runs in groove; under border,Do not place instruments just under a rib; that is where the main intercostal bundle runs.
cc_lung_root_phrenic_vagus,root of lung,"phrenic nerve anterior, vagus nerve posterior",related_to,"root of lung; phrenic nerve anterior, vagus nerve posterior; related to; lung root; phrenic nerve; vagus nerve",root of lung; radix pulmonis; lung hilum; hilum of lung; pulmonary root; phrenic nerve; nervus phrenicus; vagus nerve; nervus vagus; CN X; cranial nerve X; frenic; phrenicus; phrenick; vagus; vagal; related to; near; runs with; associated with; phrenic anterior vagus posterior; lung root nerves; hilum phrenic vagus,frenic; phrenicus; phrenick; vagus; vagal; vagus nerve; nervus vagus,CN X,related to; near; runs with; associated with,Phrenic nerve is anterior to the root; vagus nerve is posterior.
cc_lad_anterior_interventricular,anterior interventricular sulcus,anterior interventricular artery / LAD,artery_runs_in,anterior interventricular sulcus; anterior interventricular artery / LAD; artery runs in; heart; LAD; coronary arteries,anterior interventricular sulcus; anterior interventricular groove; sulcus interventricularis anterior; inter ventricular; interventrikular; interventricularis; anterior interventricular artery; left anterior descending artery; LAD; ramus interventricularis anterior; anterior descending artery; gallbladder; vesica biliaris; vesica fellea; žlčník; gallenblase; LAD groove; widow maker artery,inter ventricular; interventrikular; interventricularis,LAD,,Do not confuse with posterior interventricular artery in the posterior interventricular sulcus.
cc_rca_coronary_sulcus,right coronary sulcus,right coronary artery,artery_runs_in,right coronary sulcus; right coronary artery; artery runs in; heart; RCA; coronary sulcus,coronary sulcus; atrioventricular groove; sulcus coronarius; right coronary artery; RCA; arteria coronaria dextra; RCA groove; right coronary sulcus artery; AV groove right,,RCA,,Coronary dominance depends on origin of posterior interventricular artery.
cc_circumflex_left_coronary_sulcus,left coronary sulcus,circumflex artery,artery_runs_in,left coronary sulcus; circumflex artery; artery runs in; heart; circumflex; coronary arteries,coronary sulcus; atrioventricular groove; sulcus coronarius; circumflex artery; LCx; ramus circumflexus; left circumflex artery; circumflex; circumfleks; cirumflex; circumflexus; posterior circumflex humeral artery; PCHA; arteria circumflexa humeri posterior; medial circumflex femoral artery; MCFA; arteria circumflexa femoris medialis; LCx groove; left AV groove; circumflex coronary sulcus,circumflex; circumfleks; cirumflex; circumflexus,PCHA; MCFA,,The LAD runs anteriorly; the circumflex turns around the left AV groove.
cc_middle_meningeal_foramen_spinosum,foramen spinosum,middle meningeal artery,transmits,foramen spinosum; middle meningeal artery; transmits; epidural hematoma,foramen spinosum; spinosum; spinosus; spinozum; middle meningeal artery; arteria meningea media; MMA; meningeal; meningealis; meningial; meningeus; transmits; passes through; contents of foramen; what goes through; foramen spinosum contents; middle meningeal through; epidural hematoma artery,spinosum; spinosus; spinozum; meningeal; meningealis; meningial; meningeus,MMA,transmits; passes through; contents of foramen; what goes through,Foramen ovale transmits V3; foramen rotundum transmits V2.
cc_cavernous_sinus_contents,cavernous sinus,"ICA and cranial nerves III, IV, V1, V2, VI",contains_or_related_to,"cavernous sinus; ICA and cranial nerves III, IV, V1, V2, VI; contains or related to; cranial nerves; ICA",cavernous sinus; sinus cavernosus; cavernous venous sinus; cavernosus; cavernous; cavernozus; internal carotid artery; ICA; arteria carotis interna; maxillary nerve; V2; maxillary division; nervus maxillaris; abducens nerve; CN VI; cranial nerve VI; sixth cranial nerve; nervus abducens; axillary nerve; nervus axillaris; oculomotorius; oculomotor; occulomotor; oculomotoric; trochlearis; trochlear; troclear; abducens; abducent; abducence; abduciens; ophthalmic; ophtalmic; opthalmic; ophthalmicus; carotid; carotis; karotid; axillary; axillaris; axilarry; axilary; surgical neck of humerus; collum chirurgicum humeri; humeral surgical neck; contents; inside; lateral wall; passes through; relation; cavernous sinus nerves; ICA CN VI inside sinus; lateral wall cavernous sinus; SOF and cavernous sinus,cavernosus; cavernous; cavernozus,ICA; V2; CN VI,contents; inside; lateral wall; passes through; relation,Mandibular nerve V3 is not in the cavernous sinus lateral wall.
cc_parotid_contents,parotid gland,"facial nerve, retromandibular vein and external carotid artery",traversed_by,"parotid gland; facial nerve, retromandibular vein and external carotid artery; traversed by; parotid; facial nerve; external carotid",parotid gland; glandula parotis; parotis; parotid; parotidea; facial nerve; CN VII; cranial nerve VII; nervus facialis; retromandibular vein; vena retromandibularis; external carotid artery; ECA; arteria carotis externa; retro mandibular; retromandibularis; retromandibular; carotid; carotis; karotid; traversed by; passes through gland; inside gland; content of gland; parotid gland contents; facial nerve in parotid; retromandibular vein parotid; external carotid parotid,parotis; parotid; parotidea; retro mandibular; retromandibularis; retromandibular; carotid; carotis; karotid,CN VII; ECA,traversed by; passes through gland; inside gland; content of gland,Facial nerve passes through the gland but does not innervate the gland secretomotorly.
cc_lingual_nerve_submandibular_duct,submandibular duct,lingual nerve,crossed_by,submandibular duct; lingual nerve; crossed by; floor of mouth,submandibular duct; Wharton duct; Wharton’s duct; ductus submandibularis; sub mandibular; submandibularis; submandibular; lingual nerve; nervus lingualis; lingualis; lingual; lingval; rib; costa; rebro; rippe; crossed by; hooks around; which nerve crosses; passes under/over; lingual nerve crosses Wharton duct; submandibular duct relation; nerve hooks under duct,sub mandibular; submandibularis; submandibular; lingualis; lingual; lingval,,crossed by; hooks around; which nerve crosses; passes under/over,The hypoglossal nerve is motor to tongue muscles; the lingual nerve provides general sensation to anterior tongue.
cc_carotid_sheath_contents,carotid sheath,"common/internal carotid artery, internal jugular vein and vagus nerve",contains,"carotid sheath; common/internal carotid artery, internal jugular vein and vagus nerve; contains; vagus; IJV",carotid sheath; vagina carotica; carotid; carotis; karotid; vagus nerve; nervus vagus; CN X; cranial nerve X; internal carotid artery; ICA; arteria carotis interna; internal jugular vein; IJV; vena jugularis interna; vagus; vagal; jugular; jugularis; juguler; contains; what is inside; contents; what passes in; carotid sheath contents; CCA ICA IJV vagus; neck neurovascular sheath,carotid; carotis; karotid; vagus; vagal; vagus nerve; nervus vagus; jugular; jugularis; juguler,CN X; ICA; IJV,contains; what is inside; contents; what passes in,The sympathetic trunk is not inside the carotid sheath.
cc_optic_canal_contents,optic canal,optic nerve and ophthalmic artery,transmits,optic canal; optic nerve and ophthalmic artery; transmits; CN II; ophthalmic artery,optic canal; canalis opticus; optic nerve; CN II; cranial nerve II; nervus opticus; ophthalmic artery; arteria ophthalmica; ophthalmic; ophtalmic; opthalmic; ophthalmicus; transmits; passes through; contents of foramen; what goes through; optic canal contents; optic nerve ophthalmic artery,ophthalmic; ophtalmic; opthalmic; ophthalmicus,CN II,transmits; passes through; contents of foramen; what goes through,"Superior orbital fissure transmits CN III, IV, V1 and VI; optic canal transmits CN II."
cc_superior_orbital_fissure_contents,superior orbital fissure,"CN III, IV, V1, VI and superior ophthalmic vein",transmits,"superior orbital fissure; CN III, IV, V1, VI and superior ophthalmic vein; transmits; orbit; cranial nerves",superior orbital fissure; SOF; fissura orbitalis superior; superior ophthalmic vein; vena ophthalmica superior; ophthalmic; ophtalmic; opthalmic; ophthalmicus; oculomotor nerve; CN III; cranial nerve III; third cranial nerve; nervus oculomotorius; trochlear nerve; CN IV; cranial nerve IV; fourth cranial nerve; nervus trochlearis; abducens nerve; CN VI; cranial nerve VI; sixth cranial nerve; nervus abducens; oculomotorius; oculomotor; occulomotor; oculomotoric; trochlearis; trochlear; troclear; abducens; abducent; abducence; abduciens; transmits; passes through; contents of foramen; what goes through; SOF contents; superior orbital fissure nerves; 3 4 V1 6,ophthalmic; ophtalmic; opthalmic; ophthalmicus,SOF; CN III; CN IV; CN VI; 3 4 V1 6,transmits; passes through; contents of foramen; what goes through,"Optic nerve passes through optic canal, not superior orbital fissure."
cc_surgical_neck_axillary_pcha,surgical neck of humerus,axillary nerve and posterior circumflex humeral artery,vulnerable_structure_nearby,surgical neck of humerus; axillary nerve and posterior circumflex humeral artery; vulnerable structure nearby; humerus; axillary nerve; posterior circumflex humeral artery,surgical neck of humerus; collum chirurgicum humeri; humeral surgical neck; humerus; humeri; humeral; humerous; axillary nerve; nervus axillaris; posterior circumflex humeral artery; PCHA; arteria circumflexa humeri posterior; circumflex; circumfleks; cirumflex; circumflexus; axillary; axillaris; axilarry; axilary; maxillary nerve; V2; maxillary division; nervus maxillaris; injured in fracture; vulnerable near; damage causes; what nerve is injured; surgical neck fracture nerve; axillary nerve humerus; PCHA surgical neck,humerus; humeri; humeral; humerous; circumflex; circumfleks; cirumflex; circumflexus; axillary; axillaris; axilarry; axilary,PCHA; V2,injured in fracture; vulnerable near; damage causes; what nerve is injured,"Radial nerve is classically related to the radial groove/shaft, not surgical neck."
cc_radial_groove_radial_profunda,radial groove / humeral shaft,radial nerve and profunda brachii artery,vulnerable_structure_nearby,radial groove / humeral shaft; radial nerve and profunda brachii artery; vulnerable structure nearby; humerus; radial nerve; profunda brachii; wrist drop,radial groove; spiral groove; sulcus nervi radialis; radial nerve groove; humeral shaft; shaft of humerus; corpus humeri; radial; radialis; radiallis; radial nerve; nervus radialis; profunda brachii artery; deep brachial artery; arteria profunda brachii; humerus; humeri; humeral; humerous; surgical neck of humerus; collum chirurgicum humeri; humeral surgical neck; injured in fracture; vulnerable near; damage causes; what nerve is injured; humeral shaft fracture wrist drop; radial groove contents; radial nerve profunda brachii,radial; radialis; radiallis; humerus; humeri; humeral; humerous,,injured in fracture; vulnerable near; damage causes; what nerve is injured,Do not confuse with axillary nerve at surgical neck.
cc_medial_epicondyle_ulnar,medial epicondyle,ulnar nerve,nerve_passes_behind,medial epicondyle; ulnar nerve; nerve passes behind,medial epicondyle; medial epicondyle of humerus; epicondylus medialis humeri; funny bone region; ulnar nerve; nervus ulnaris; ulnar; ulnaris; ulner; humerus; humeri; humeral; humerous; passes behind; funny bone; behind epicondyle; funny bone nerve; ulnar nerve medial epicondyle; cubital tunnel nerve,ulnar; ulnaris; ulner,,passes behind; funny bone; behind epicondyle,Median nerve is in cubital fossa anteriorly; ulnar nerve passes behind medial epicondyle.
cc_carpal_tunnel_contents,carpal tunnel,median nerve and flexor tendons,contains,carpal tunnel; median nerve and flexor tendons; contains; median nerve; flexor tendons,carpal tunnel; canalis carpi; carpal canal; carpal; carpalis; karpal; median nerve; nervus medianus; flexor tendons; flexor muscle tendons; FDS FDP FPL tendons; contains; what is inside; contents; what passes in; carpal tunnel contents; median nerve tunnel; flexor tendons median,carpal; carpalis; karpal,,contains; what is inside; contents; what passes in,"Ulnar nerve and artery pass superficial/medial through Guyon canal region, not inside the carpal tunnel."
cc_cubital_fossa_tan,cubital fossa,"biceps tendon, brachial artery and median nerve",contains_ordered,"cubital fossa; biceps tendon, brachial artery and median nerve; contains ordered; brachial artery; median nerve",cubital fossa; fossa cubitalis; elbow fossa; cubital; cubitalis; kubital; median nerve; nervus medianus; biceps tendon; tendon of biceps brachii; brachial artery; arteria brachialis; brachial; brachialis; bracial; order; from lateral to medial; from superficial to deep; contents order; mnemonic; TAN cubital fossa; cubital fossa order; tendon artery nerve,cubital; cubitalis; kubital; brachial; brachialis; bracial,,order; from lateral to medial; from superficial to deep; contents order; mnemonic,Ulnar nerve is not a main anterior cubital fossa content; it passes posterior to medial epicondyle.
cc_femoral_triangle_navl,femoral triangle,"femoral nerve, artery, vein and lymphatics",contains_ordered,"femoral triangle; femoral nerve, artery, vein and lymphatics; contains ordered; NAVL; femoral sheath",femoral triangle; trigonum femorale; Scarpa triangle; Scarpa’s triangle; femoral; femoralis; femur artery; femur nerve; femoral nerve; nervus femoralis; lymphatics; lymph nodes; lymphatic vessels; femoral artery; arteria femoralis; femoral vein; vena femoralis; order; from lateral to medial; from superficial to deep; contents order; mnemonic; NAVL femoral triangle; femoral triangle order; nerve artery vein lymph,femoral; femoralis; femur artery; femur nerve,,order; from lateral to medial; from superficial to deep; contents order; mnemonic,"Femoral nerve is outside the femoral sheath; artery, vein and canal are within the sheath."
cc_adductor_canal_contents,adductor canal,"femoral artery, femoral vein, saphenous nerve and nerve to vastus medialis",contains,"adductor canal; femoral artery, femoral vein, saphenous nerve and nerve to vastus medialis; contains; saphenous nerve; femoral artery",adductor canal; Hunter canal; subsartorial canal; canalis adductorius; femoral artery; arteria femoralis; femoral vein; vena femoralis; saphenous nerve; nervus saphenus; nerve to vastus medialis; nervus vasti medialis; femoral; femoralis; femur artery; femur nerve; saphenous; saphenus; safenous; femoral nerve; nervus femoralis; medial circumflex femoral artery; MCFA; arteria circumflexa femoris medialis; contains; what is inside; contents; what passes in; Hunter canal contents; adductor canal contents; saphenous nerve canal,femoral; femoralis; femur artery; femur nerve; saphenous; saphenus; safenous,MCFA,contains; what is inside; contents; what passes in,Femoral nerve is not an adductor canal content.
cc_fibular_neck_common_fibular,neck of fibula,common fibular nerve,vulnerable_structure_nearby,neck of fibula; common fibular nerve; vulnerable structure nearby; fibular neck; foot drop,neck of fibula; fibular neck; collum fibulae; neck of the fibula; common fibular nerve; common peroneal nerve; nervus fibularis communis; nervus peroneus communis; fibular; fibularis; peroneal; fibuler; injured in fracture; vulnerable near; damage causes; what nerve is injured; fibular neck nerve injury; common peroneal nerve foot drop; neck of fibula foot drop,fibular; fibularis; peroneal; fibuler,,injured in fracture; vulnerable near; damage causes; what nerve is injured,"Tibial nerve runs in posterior compartment/popliteal fossa, not around fibular neck."
cc_popliteal_fossa_nva,popliteal fossa,"tibial nerve, popliteal vein and popliteal artery",contains_ordered,"popliteal fossa; tibial nerve, popliteal vein and popliteal artery; contains ordered; tibial nerve; popliteal artery",popliteal fossa; fossa poplitea; popliteal; popliteus; poplitea; poplitealis; tibial nerve; nervus tibialis; popliteal vein; vena poplitea; popliteal artery; arteria poplitea; order; from lateral to medial; from superficial to deep; contents order; mnemonic; popliteal fossa order; NVA popliteal; tibial nerve popliteal vein artery,popliteal; popliteus; poplitea; poplitealis,,order; from lateral to medial; from superficial to deep; contents order; mnemonic,"The artery is deepest, directly related to the femur/knee capsule."
cc_tarsal_tunnel_contents,tarsal tunnel,"tibialis posterior, flexor digitorum longus, posterior tibial vessels, tibial nerve and flexor hallucis longus",contains_ordered,"tarsal tunnel; tibialis posterior, flexor digitorum longus, posterior tibial vessels, tibial nerve and flexor hallucis longus; contains ordered; tibial nerve; posterior tibial artery",tarsal tunnel; canalis malleolaris; behind medial malleolus; tarsal; tarsalis; tarzal; tibial nerve; nervus tibialis; tibialis posterior; tendon of tibialis posterior; flexor digitorum longus; FDL; posterior tibial vessels; posterior tibial artery and veins; arteria tibialis posterior; flexor hallucis longus; FHL; hallucis; halucis; hallicis; order; from lateral to medial; from superficial to deep; contents order; mnemonic; Tom Dick And Very Nervous Harry; tarsal tunnel order; posterior tibial nerve vessels tendons,tarsal; tarsalis; tarzal; hallucis; halucis; hallicis,FDL; FHL,order; from lateral to medial; from superficial to deep; contents order; mnemonic,"Anterior tibial artery is on the anterior leg/dorsum as dorsalis pedis, not in tarsal tunnel."
cc_femoral_neck_medial_circumflex,femoral neck,medial circumflex femoral artery / retinacular arteries,blood_supply_vulnerable,femoral neck; medial circumflex femoral artery / retinacular arteries; blood supply vulnerable; medial circumflex femoral artery; AVN,femoral neck; collum femoris; neck of femur; femoral; femoralis; femur artery; femur nerve; femoral artery; arteria femoralis; medial circumflex femoral artery; MCFA; arteria circumflexa femoris medialis; retinacular arteries; retinacular vessels; ascending cervical branches; circumflex; circumfleks; cirumflex; circumflexus; blood supply vulnerable; avascular necrosis; fracture endangers artery; femoral neck avascular necrosis; retinacular arteries femoral head; medial circumflex femoral fracture,femoral; femoralis; femur artery; femur nerve; circumflex; circumfleks; cirumflex; circumflexus,MCFA,blood supply vulnerable; avascular necrosis; fracture endangers artery,The artery to the head of femur is important in children but usually not the main adult supply.
cc_ureter_under_uterine_artery,ureter in female pelvis,uterine artery,passes_under,ureter in female pelvis; uterine artery; passes under; ureter; pelvis; hysterectomy,ureter; močovod; urether; uterine artery; arteria uterina; uterine; uterina; uterinne; passes under; water under bridge; surgical danger; uterine artery relation; water under the bridge; ureter under uterine artery; hysterectomy ureter injury,ureter; urether; močovod; uterine; uterina; uterinne,,passes under; water under bridge; surgical danger; uterine artery relation,"The uterine artery crosses over the ureter, not under it."
cc_obturator_canal_contents,obturator canal,"obturator nerve, artery and vein",contains,"obturator canal; obturator nerve, artery and vein; contains; obturator nerve; medial thigh",obturator canal; canalis obturatorius; obturator; obturatorius; obturater; obturator nerve; nervus obturatorius; contains; what is inside; contents; what passes in; obturator canal contents; obturator nerve artery vein,obturator; obturatorius; obturater,,contains; what is inside; contents; what passes in,"Femoral nerve passes under the inguinal ligament, not through obturator canal."
cc_pudendal_lesser_sciatic,lesser sciatic foramen,pudendal nerve and internal pudendal vessels,transmits,lesser sciatic foramen; pudendal nerve and internal pudendal vessels; transmits; pudendal nerve; perineum,lesser sciatic foramen; foramen ischiadicum minus; pudendal nerve; nervus pudendus; internal pudendal vessels; internal pudendal artery and vein; arteria pudenda interna; vena pudenda interna; pudendal; pudendus; pudenthal; transmits; passes through; contents of foramen; what goes through; pudendal nerve lesser sciatic foramen; internal pudendal vessels lesser sciatic,pudendal; pudendus; pudenthal,,transmits; passes through; contents of foramen; what goes through,They do not stay in the gluteal region; they re-enter through the lesser sciatic foramen to reach the perineum.
cc_cranial_nerve_iii_pupil_ptosis,oculomotor nerve,"ptosis, diplopia and possible dilated pupil",lesion_causes,"oculomotor nerve; ptosis, diplopia and possible dilated pupil; lesion causes; CN III; oculomotor; pupil; ptosis",oculomotor nerve; CN III; cranial nerve III; third cranial nerve; nervus oculomotorius; oculomotorius; oculomotor; occulomotor; oculomotoric; lesion causes; damage causes; palsy sign; clinical sign; CN III palsy; oculomotor palsy ptosis mydriasis; down and out eye,oculomotorius; oculomotor; occulomotor; oculomotoric,CN III,lesion causes; damage causes; palsy sign; clinical sign,CN VI lesion mainly prevents abduction; CN III is broader and may involve pupil.
cc_cn_vi_lateral_rectus,abducens nerve,lateral rectus muscle,innervates,abducens nerve; lateral rectus muscle; innervates; CN VI; lateral rectus; eye movement,abducens nerve; CN VI; cranial nerve VI; sixth cranial nerve; nervus abducens; abducens; abducent; abducence; abduciens; innervates; supplies muscle; motor supply; CN VI palsy; abducens lateral rectus; cannot abduct eye,abducens; abducent; abducence; abduciens,CN VI,innervates; supplies muscle; motor supply,Superior oblique is CN IV; lateral rectus is CN VI.
cc_hypoglossal_tongue_deviation,hypoglossal nerve,tongue deviation toward the side of a lower motor neuron lesion,lesion_causes,hypoglossal nerve; tongue deviation toward the side of a lower motor neuron lesion; lesion causes; CN XII; tongue; hypoglossal,hypoglossal nerve; CN XII; cranial nerve XII; nervus hypoglossus; lesion causes; damage causes; palsy sign; clinical sign; CN XII lesion; tongue deviates side lesion; hypoglossal palsy,,CN XII,lesion causes; damage causes; palsy sign; clinical sign,Palatoglossus is supplied by vagus nerve via pharyngeal plexus.
cc_visual_pathway_optic_chiasm,optic chiasm,bitemporal hemianopia,lesion_causes,optic chiasm; bitemporal hemianopia; lesion causes; visual pathway; pituitary,optic chiasm; chiasma opticum; optic chiasma; hemianopia; hemianopsia; hemianopsy; hemianopsie; bitemporal; bi temporal; bitemporalis; visual pathway; optic pathway; visus pathway; lesion causes; damage causes; palsy sign; clinical sign; optic chiasm lesion; bitemporal hemianopia; pituitary tumor visual field,hemianopia; hemianopsia; hemianopsy; hemianopsie; bitemporal; bi temporal; bitemporalis,,lesion causes; damage causes; palsy sign; clinical sign,"Optic tract lesions cause contralateral homonymous hemianopia, not bitemporal hemianopia."
