id,category,subject_id,subject_name,relation_type,target_id,target_name,answer,clinical_relevance,exam_traps,question_templates,tags,course_tags,details_json
cc_intercostal_van_costal_groove,topographic_bundle_relation,bone_rib,inferior border of rib / costal groove,contains_or_protects,bundle_intercostal_van,"intercostal vein, artery and nerve","The intercostal neurovascular bundle runs in the costal groove along the inferior border of the rib, arranged superior to inferior as vein, artery and nerve.",Chest drains are placed above the upper border of the rib to reduce risk of injuring the VAN bundle.,Do not place instruments just under a rib; that is where the main intercostal bundle runs.,What runs in the costal groove? | Why insert a chest tube above the rib?,rib; intercostal; VAN; chest tube,anat1_week_01; anat1_week_11,"{""mnemonic"": ""VAN from superior to inferior"", ""safe_procedure"": ""needle/chest tube is placed just superior to the rib below to avoid the main bundle""}"
cc_lung_root_phrenic_vagus,topographic_nerve_relation,organ_lung,root of lung,related_to,nerve_phrenic_and_vagus,"phrenic nerve anterior, vagus nerve posterior","At the root of the lung, the phrenic nerve passes anteriorly and the vagus nerve passes posteriorly.",Important in thoracic surgery and mediastinal anatomy.,Phrenic nerve is anterior to the root; vagus nerve is posterior.,Which nerve passes anterior to the root of the lung? | Which nerve passes posterior to the root of the lung?,lung root; phrenic nerve; vagus nerve,anat1_week_11,"{""phrenic"": ""anterior to lung root"", ""vagus"": ""posterior to lung root""}"
cc_lad_anterior_interventricular,topographic_vessel_relation,organ_heart,anterior interventricular sulcus,artery_runs_in,artery_anterior_interventricular,anterior interventricular artery / LAD,"The anterior interventricular artery, commonly called the LAD, runs in the anterior interventricular sulcus.",LAD occlusion can produce extensive anterior myocardial infarction.,Do not confuse with posterior interventricular artery in the posterior interventricular sulcus.,Which artery runs in the anterior interventricular sulcus? | LAD is another name for which coronary branch?,heart; LAD; coronary arteries,anat1_week_09; anat1_week_10,"{""origin"": ""left coronary artery"", ""supplies"": ""anterior interventricular septum and anterior ventricular walls""}"
cc_rca_coronary_sulcus,topographic_vessel_relation,organ_heart,right coronary sulcus,artery_runs_in,artery_right_coronary,right coronary artery,The right coronary artery runs in the right part of the coronary/atrioventricular sulcus.,RCA occlusion may affect inferior wall and AV node depending on dominance.,Coronary dominance depends on origin of posterior interventricular artery.,Which artery runs in the right coronary sulcus? | Which coronary artery often supplies the AV node?,heart; RCA; coronary sulcus,anat1_week_09,"{""branches"": ""right marginal and often posterior interventricular artery in right-dominant circulation""}"
cc_circumflex_left_coronary_sulcus,topographic_vessel_relation,organ_heart,left coronary sulcus,artery_runs_in,artery_circumflex,circumflex artery,The circumflex branch of the left coronary artery runs in the left coronary/atrioventricular sulcus.,"Can supply lateral wall of left ventricle and, in left dominance, posterior interventricular territory.",The LAD runs anteriorly; the circumflex turns around the left AV groove.,Which artery runs in the left coronary sulcus?,heart; circumflex; coronary arteries,anat1_week_09,"{""origin"": ""left coronary artery""}"
cc_middle_meningeal_foramen_spinosum,foramen_content_relation,foramen_spinosum,foramen spinosum,transmits,artery_middle_meningeal,middle meningeal artery,The foramen spinosum transmits the middle meningeal artery.,Middle meningeal artery tear classically causes epidural hematoma after temporal region trauma.,Foramen ovale transmits V3; foramen rotundum transmits V2.,What passes through foramen spinosum? | Epidural hematoma usually involves which artery?,foramen spinosum; middle meningeal artery; epidural hematoma,anat1_week_02; anat1_week_03,"{""nearby_bone"": ""sphenoid greater wing""}"
cc_cavernous_sinus_contents,space_content_relation,sinus_cavernous,cavernous sinus,contains_or_related_to,bundle_cavernous_sinus_contents,"ICA and cranial nerves III, IV, V1, V2, VI","The cavernous sinus contains the internal carotid artery and abducens nerve within the sinus; oculomotor, trochlear, ophthalmic and maxillary nerves run in the lateral wall.",Facial or nasal infections can spread to cavernous sinus and cause ocular motor deficits; CN VI is especially vulnerable.,Mandibular nerve V3 is not in the cavernous sinus lateral wall.,What structures are related to the cavernous sinus? | Which cranial nerve is most vulnerable in cavernous sinus lesions?,cavernous sinus; cranial nerves; ICA,anat1_week_03; anat2_week_03; anat2_week_05,"{""inside_sinus"": [""internal carotid artery"", ""abducens nerve (CN VI)""], ""lateral_wall"": [""oculomotor nerve (CN III)"", ""trochlear nerve (CN IV)"", ""ophthalmic nerve (V1)"", ""maxillary nerve (V2)""]}"
cc_parotid_contents,gland_content_relation,salivary_parotid_gland,parotid gland,traversed_by,bundle_parotid_contents,"facial nerve, retromandibular vein and external carotid artery","The parotid gland is traversed by the facial nerve, retromandibular vein and external carotid artery.",Parotid surgery risks injury to the facial nerve.,Facial nerve passes through the gland but does not innervate the gland secretomotorly.,Which nerve is endangered in parotid surgery? | What structures pass through the parotid gland?,parotid; facial nerve; external carotid,anat2_week_04; anat2_week_13,"{""order_superficial_to_deep"": ""facial nerve, retromandibular vein, external carotid artery""}"
cc_lingual_nerve_submandibular_duct,topographic_nerve_duct_relation,duct_submandibular,submandibular duct,crossed_by,nerve_lingual,lingual nerve,"The lingual nerve loops under the submandibular duct, classically described as twice crossed by the duct in the floor of the mouth.",Important in surgery of submandibular duct/gland and floor of mouth.,The hypoglossal nerve is motor to tongue muscles; the lingual nerve provides general sensation to anterior tongue.,Which nerve loops around the submandibular duct? | What is the relation of lingual nerve to Wharton duct?,submandibular duct; lingual nerve; floor of mouth,anat1_week_12; anat2_week_03,"{""mnemonic"": ""lingual nerve says double-crossed by Wharton duct""}"
cc_carotid_sheath_contents,topographic_bundle_relation,space_carotid_sheath,carotid sheath,contains,bundle_carotid_sheath_contents,"common/internal carotid artery, internal jugular vein and vagus nerve","The carotid sheath contains the common/internal carotid artery medially, internal jugular vein laterally and vagus nerve posteriorly between them.",Central line placement and neck surgery require awareness of carotid sheath anatomy.,The sympathetic trunk is not inside the carotid sheath.,What are the contents of the carotid sheath? | Where is the vagus nerve in the carotid sheath?,carotid sheath; vagus; IJV,anat2_week_04,"{""contents"": [""common/internal carotid artery"", ""internal jugular vein"", ""vagus nerve""], ""sympathetic_trunk"": ""posterior to sheath, not inside""}"
cc_optic_canal_contents,foramen_content_relation,canal_optic,optic canal,transmits,bundle_optic_canal_contents,optic nerve and ophthalmic artery,The optic canal transmits the optic nerve and ophthalmic artery.,Orbital apex injuries may affect vision and ocular blood supply.,"Superior orbital fissure transmits CN III, IV, V1 and VI; optic canal transmits CN II.",What passes through the optic canal?,optic canal; CN II; ophthalmic artery,anat1_week_02; anat2_week_12,"{""bone"": ""sphenoid lesser wing""}"
cc_superior_orbital_fissure_contents,foramen_content_relation,fissure_superior_orbital,superior orbital fissure,transmits,bundle_sof_contents,"CN III, IV, V1, VI and superior ophthalmic vein","The superior orbital fissure transmits oculomotor nerve, trochlear nerve, ophthalmic division of trigeminal nerve, abducens nerve and superior ophthalmic vein.",Superior orbital fissure syndrome causes multiple ocular motor and sensory deficits.,"Optic nerve passes through optic canal, not superior orbital fissure.",What passes through the superior orbital fissure?,superior orbital fissure; orbit; cranial nerves,anat1_week_02; anat2_week_03,"{""contents"": [""CN III"", ""CN IV"", ""V1"", ""CN VI"", ""superior ophthalmic vein""]}"
cc_surgical_neck_axillary_pcha,fracture_neurovascular_relation,bone_humerus,surgical neck of humerus,vulnerable_structure_nearby,bundle_axillary_posterior_circumflex,axillary nerve and posterior circumflex humeral artery,The axillary nerve and posterior circumflex humeral artery pass near the surgical neck of the humerus.,"Surgical neck fracture or anterior shoulder dislocation can injure axillary nerve, causing deltoid weakness and sensory loss over the regimental badge area.","Radial nerve is classically related to the radial groove/shaft, not surgical neck.",Surgical neck fracture injures which nerve? | Which artery accompanies the axillary nerve near surgical neck?,humerus; axillary nerve; posterior circumflex humeral artery,anat1_week_04; anat1_week_06; anat1_week_07,"{""space"": ""quadrangular space""}"
cc_radial_groove_radial_profunda,fracture_neurovascular_relation,bone_humerus,radial groove / humeral shaft,vulnerable_structure_nearby,bundle_radial_profunda_brachii,radial nerve and profunda brachii artery,The radial nerve and profunda brachii artery run in the radial groove of the humerus.,Humeral shaft fracture can injure radial nerve and cause wrist drop.,Do not confuse with axillary nerve at surgical neck.,Midshaft humeral fracture injures which nerve? | Which artery accompanies radial nerve in radial groove?,humerus; radial nerve; profunda brachii; wrist drop,anat1_week_04; anat1_week_06,"{""clinical_motor"": ""wrist and finger extension weakness""}"
cc_medial_epicondyle_ulnar,surface_nerve_relation,bone_humerus,medial epicondyle,nerve_passes_behind,nerve_ulnar,ulnar nerve,The ulnar nerve passes posterior to the medial epicondyle of the humerus.,Injury may cause sensory loss in medial hand and weakness of intrinsic hand muscles.,Median nerve is in cubital fossa anteriorly; ulnar nerve passes behind medial epicondyle.,Which nerve passes behind the medial epicondyle? | Funny bone sensation involves which nerve?,ulnar nerve; medial epicondyle,anat1_week_06,"{""surface_landmark"": ""funny bone""}"
cc_carpal_tunnel_contents,canal_content_relation,space_carpal_tunnel,carpal tunnel,contains,bundle_carpal_tunnel_contents,median nerve and flexor tendons,"The carpal tunnel contains the median nerve and tendons of flexor digitorum superficialis, flexor digitorum profundus and flexor pollicis longus.",Median nerve compression in the carpal tunnel causes carpal tunnel syndrome.,"Ulnar nerve and artery pass superficial/medial through Guyon canal region, not inside the carpal tunnel.",What passes through the carpal tunnel? | Carpal tunnel syndrome affects which nerve?,carpal tunnel; median nerve; flexor tendons,anat1_week_06; anat1_week_07,"{""contents"": [""median nerve"", ""FDS tendons"", ""FDP tendons"", ""FPL tendon""], ""not_contents"": [""ulnar nerve"", ""ulnar artery""]}"
cc_cubital_fossa_tan,topographic_bundle_relation,space_cubital_fossa,cubital fossa,contains_ordered,bundle_cubital_fossa_tan,"biceps tendon, brachial artery and median nerve","From lateral to medial in the cubital fossa, the key contents are biceps tendon, brachial artery and median nerve.",Venipuncture and arterial blood pressure measurement occur near this region.,Ulnar nerve is not a main anterior cubital fossa content; it passes posterior to medial epicondyle.,What are the contents of cubital fossa from lateral to medial? | Where is the median nerve relative to brachial artery in cubital fossa?,cubital fossa; brachial artery; median nerve,anat1_week_06; anat1_week_07,"{""mnemonic"": ""TAN lateral to medial: Tendon, Artery, Nerve"", ""additional"": ""radial nerve lies more laterally/deep before dividing""}"
cc_femoral_triangle_navl,topographic_bundle_relation,space_femoral_triangle,femoral triangle,contains_ordered,bundle_femoral_triangle_navl,"femoral nerve, artery, vein and lymphatics","From lateral to medial in the femoral triangle: femoral nerve, femoral artery, femoral vein and lymphatics.","Important for femoral pulse, arterial access and femoral hernia anatomy.","Femoral nerve is outside the femoral sheath; artery, vein and canal are within the sheath.",What is the order of structures in the femoral triangle? | What lies medial to femoral artery?,femoral triangle; NAVL; femoral sheath,anat1_week_07,"{""mnemonic"": ""NAVL lateral to medial""}"
cc_adductor_canal_contents,canal_content_relation,space_adductor_canal,adductor canal,contains,bundle_adductor_canal_contents,"femoral artery, femoral vein, saphenous nerve and nerve to vastus medialis","The adductor canal contains the femoral artery and vein, saphenous nerve and nerve to vastus medialis; the femoral nerve itself is not inside the canal.",Adductor canal block can target saphenous nerve while sparing much quadriceps motor function.,Femoral nerve is not an adductor canal content.,What passes through the adductor canal? | Is femoral nerve inside the adductor canal?,adductor canal; saphenous nerve; femoral artery,anat1_week_07,"{""boundaries"": ""sartorius roof; vastus medialis anterolateral; adductor longus/magnus posterior""}"
cc_fibular_neck_common_fibular,fracture_neurovascular_relation,bone_fibula,neck of fibula,vulnerable_structure_nearby,nerve_common_fibular,common fibular nerve,The common fibular nerve winds around the neck of the fibula and is vulnerable to injury there.,Injury can cause foot drop and sensory loss over dorsum of foot/lateral leg depending on lesion.,"Tibial nerve runs in posterior compartment/popliteal fossa, not around fibular neck.",Fibular neck fracture injures which nerve? | Which nerve lesion causes foot drop at fibular neck?,fibular neck; common fibular nerve; foot drop,anat1_week_07,"{""branches"": [""deep fibular nerve"", ""superficial fibular nerve""]}"
cc_popliteal_fossa_nva,topographic_bundle_relation,space_popliteal_fossa,popliteal fossa,contains_ordered,bundle_popliteal_fossa_nva,"tibial nerve, popliteal vein and popliteal artery","In the popliteal fossa, from superficial to deep, the main midline structures are tibial nerve, popliteal vein and popliteal artery.",Popliteal aneurysm can compress nearby tibial nerve or affect distal blood flow.,"The artery is deepest, directly related to the femur/knee capsule.",What is the order of popliteal fossa contents from superficial to deep?,popliteal fossa; tibial nerve; popliteal artery,anat1_week_07,"{""order"": ""nerve superficial, vein intermediate, artery deepest""}"
cc_tarsal_tunnel_contents,canal_content_relation,space_tarsal_tunnel,tarsal tunnel,contains_ordered,bundle_tarsal_tunnel_contents,"tibialis posterior, flexor digitorum longus, posterior tibial vessels, tibial nerve and flexor hallucis longus","Behind the medial malleolus in the tarsal tunnel, the order is tibialis posterior, flexor digitorum longus, posterior tibial artery/veins, tibial nerve and flexor hallucis longus.",Tarsal tunnel syndrome compresses the tibial nerve.,"Anterior tibial artery is on the anterior leg/dorsum as dorsalis pedis, not in tarsal tunnel.",What passes through the tarsal tunnel? | Which nerve is compressed in tarsal tunnel syndrome?,tarsal tunnel; tibial nerve; posterior tibial artery,anat1_week_07,"{""mnemonic"": ""Tom, Dick And Very Nervous Harry""}"
cc_femoral_neck_medial_circumflex,fracture_vascular_relation,bone_femur,femoral neck,blood_supply_vulnerable,artery_medial_circumflex_femoral,medial circumflex femoral artery / retinacular arteries,The femoral head is supplied mainly by retinacular branches from the medial circumflex femoral artery; femoral neck fracture can disrupt this supply.,Displaced femoral neck fractures risk avascular necrosis of the femoral head.,The artery to the head of femur is important in children but usually not the main adult supply.,Which artery supplies most of the femoral head? | Why can femoral neck fracture cause avascular necrosis?,femoral neck; medial circumflex femoral artery; AVN,anat1_week_05; anat1_week_07,"{""risk"": ""avascular necrosis of femoral head""}"
cc_ureter_under_uterine_artery,surgical_danger_relation,structure_ureter,ureter in female pelvis,passes_under,artery_uterine,uterine artery,The ureter passes inferior to the uterine artery near the cervix: water under the bridge.,The ureter can be injured during hysterectomy or uterine artery ligation.,"The uterine artery crosses over the ureter, not under it.",What passes under the uterine artery? | Water under the bridge refers to which structures?,ureter; uterine artery; pelvis; hysterectomy,anat2_week_01; anat2_week_02,"{""mnemonic"": ""water under the bridge""}"
cc_obturator_canal_contents,canal_content_relation,space_obturator_canal,obturator canal,contains,bundle_obturator_canal_contents,"obturator nerve, artery and vein","The obturator canal transmits the obturator nerve, artery and vein from pelvis to medial thigh.",Obturator nerve lesion weakens thigh adduction.,"Femoral nerve passes under the inguinal ligament, not through obturator canal.",What passes through the obturator canal?,obturator canal; obturator nerve; medial thigh,anat1_week_07; anat2_week_02,"{""target_region"": ""medial thigh""}"
cc_pudendal_lesser_sciatic,foramen_content_relation,space_lesser_sciatic_foramen,lesser sciatic foramen,transmits,bundle_pudendal_internal_pudendal,pudendal nerve and internal pudendal vessels,"The pudendal nerve and internal pudendal vessels leave the pelvis through the greater sciatic foramen, hook around the sacrospinous ligament, and enter the perineum through the lesser sciatic foramen.",Pudendal nerve block targets the nerve near the ischial spine.,They do not stay in the gluteal region; they re-enter through the lesser sciatic foramen to reach the perineum.,Which nerve enters the perineum through the lesser sciatic foramen? | Where is pudendal nerve block performed?,pudendal nerve; lesser sciatic foramen; perineum,anat2_week_02,"{""ligament_relation"": ""around ischial spine/sacrospinous ligament""}"
cc_cranial_nerve_iii_pupil_ptosis,lesion_correlation,nerve_cn_iii,oculomotor nerve,lesion_causes,sign_cn3_palsy,"ptosis, diplopia and possible dilated pupil","Oculomotor nerve lesion may cause ptosis, impaired eye movements and, if parasympathetic fibers are affected, a dilated pupil.",A painful third-nerve palsy with pupil involvement can suggest compressive pathology.,CN VI lesion mainly prevents abduction; CN III is broader and may involve pupil.,CN III palsy causes which signs? | Which cranial nerve lesion causes ptosis and dilated pupil?,CN III; oculomotor; pupil; ptosis,anat2_week_03; anat2_week_12,"{""motor"": ""levator palpebrae superioris and most extraocular muscles"", ""parasympathetic"": ""pupillary constriction""}"
cc_cn_vi_lateral_rectus,lesion_correlation,nerve_cn_vi,abducens nerve,innervates,muscle_lateral_rectus,lateral rectus muscle,"The abducens nerve innervates the lateral rectus muscle, which abducts the eye.",CN VI palsy causes horizontal diplopia and medial deviation at rest.,Superior oblique is CN IV; lateral rectus is CN VI.,Which nerve innervates lateral rectus? | CN VI palsy affects which movement?,CN VI; lateral rectus; eye movement,anat2_week_03; anat2_week_12,"{""deficit"": ""inability to abduct eye on affected side""}"
cc_hypoglossal_tongue_deviation,lesion_correlation,nerve_cn_xii,hypoglossal nerve,lesion_causes,sign_tongue_deviation,tongue deviation toward the side of a lower motor neuron lesion,Hypoglossal nerve lower motor neuron lesion causes the protruded tongue to deviate toward the affected side.,Useful in cranial nerve examination.,Palatoglossus is supplied by vagus nerve via pharyngeal plexus.,Tongue deviates to the lesion side in which nerve lesion? | Which cranial nerve supplies most tongue muscles?,CN XII; tongue; hypoglossal,anat2_week_03,"{""muscles"": ""intrinsic and extrinsic tongue muscles except palatoglossus""}"
cc_visual_pathway_optic_chiasm,lesion_correlation,pathway_visual,optic chiasm,lesion_causes,visual_field_bitemporal_hemianopia,bitemporal hemianopia,A lesion of the optic chiasm classically affects crossing nasal retinal fibers and causes bitemporal hemianopia.,Pituitary tumors can compress the optic chiasm.,"Optic tract lesions cause contralateral homonymous hemianopia, not bitemporal hemianopia.",Optic chiasm lesion causes which visual field defect? | Pituitary tumor compresses which visual pathway structure?,visual pathway; optic chiasm; pituitary,anat2_week_12; anat2_week_13,"{""common_cause"": ""pituitary region mass""}"
