question_id,origin,type,prompt,correct_answer,correct_answer_latin,correct_answer_german,distractors,concept_ids,source_relation_id,relation_type,direction,evidence_status,quiz_eligible,status,generation_rule,explanation
graph_rel_00063_f,anatomy_graph,multiple_choice,Which structure arises as a branch from internal carotid artery?,ophthalmic artery,arteria ophthalmica,Augenarterie,common carotid artery; gastroduodenal artery; superior thyroid artery,artery_internal_carotid; artery_ophthalmic,rel_00063,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,internal carotid artery gives a branch to ophthalmic artery.
graph_rel_00064_f,anatomy_graph,multiple_choice,Which structure arises as a branch from external carotid artery?,facial artery,arteria facialis,Gesichtsarterie,superior thyroid artery; radial artery; medial plantar artery,artery_external_carotid; artery_facial,rel_00064,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,external carotid artery gives a branch to facial artery.
graph_rel_00065_f,anatomy_graph,multiple_choice,Which structure arises as a branch from external carotid artery?,lingual artery,arteria lingualis,Zungenarterie,ascending cervical artery; subclavian artery; inferior thyroid artery,artery_external_carotid; artery_lingual,rel_00065,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,external carotid artery gives a branch to lingual artery.
graph_rel_00066_f,anatomy_graph,multiple_choice,Which structure arises as a branch from external carotid artery?,maxillary artery,arteria maxillaris,Oberkieferarterie,right coronary artery; plantar metatarsal arteries; internal thoracic artery,artery_external_carotid; artery_maxillary,rel_00066,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,external carotid artery gives a branch to maxillary artery.
graph_rel_00067_f,anatomy_graph,multiple_choice,Which structure arises as a branch from external carotid artery?,superficial temporal artery,arteria temporalis superficialis,oberflächliche Schläfenarterie,common carotid artery; middle cerebral artery; common hepatic artery,artery_external_carotid; artery_superficial_temporal,rel_00067,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,external carotid artery gives a branch to superficial temporal artery.
graph_rel_00068_f,anatomy_graph,multiple_choice,Which structure arises as a branch from external carotid artery?,occipital artery,arteria occipitalis,Hinterhauptarterie,internal carotid artery; ascending cervical artery; brachiocephalic trunk,artery_external_carotid; artery_occipital,rel_00068,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,external carotid artery gives a branch to occipital artery.
graph_rel_00069_f,anatomy_graph,multiple_choice,Which structure arises as a branch from subclavian artery?,internal thoracic artery,arteria thoracica interna,innere Brustkorbarterie,pulmonary trunk; aorta; posterior intercostal arteries,artery_subclavian; artery_internal_thoracic,rel_00069,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,subclavian artery gives a branch to internal thoracic artery.
graph_rel_0007_f,anatomy_graph,multiple_choice,Which structure is produced by the bifurcation of common carotid artery?,internal carotid artery,arteria carotis interna,innere Halsschlagader,vertebral artery; inferior thyroid artery; posterior communicating artery,artery_common_carotid; artery_internal_carotid,rel_0007,bifurcates_into,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:bifurcates_into:forward,common carotid artery bifurcates into internal carotid artery.
graph_rel_00070_f,anatomy_graph,multiple_choice,Which structure arises as a branch from brachial artery?,deep artery of arm,arteria profunda brachii,tiefe Oberarmarterie,radial artery; subclavian artery; axillary artery,artery_brachial; artery_profunda_brachii,rel_00070,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,brachial artery gives a branch to deep artery of arm.
graph_rel_00071_f,anatomy_graph,multiple_choice,Which structure arises as a branch from axillary artery?,posterior circumflex humeral artery,arteria circumflexa humeri posterior,hintere Oberarmumgehungsarterie,deep artery of arm; radial artery; subclavian artery,artery_axillary; artery_posterior_circumflex_humeral,rel_00071,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,axillary artery gives a branch to posterior circumflex humeral artery.
graph_rel_00072_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,renal artery,arteria renalis,Nierenarterie,left gastric artery; proper hepatic artery; superior epigastric artery,artery_aorta; artery_renal,rel_00072,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to renal artery.
graph_rel_00073_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,middle suprarenal artery,arteria suprarenalis media,mittlere Nebennierenarterie,inferior epigastric artery; appendicular artery; gastroduodenal artery,artery_aorta; artery_suprarenal_middle,rel_00073,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to middle suprarenal artery.
graph_rel_00074_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,gonadal artery,arteria testicularis/ovarica,Keimdrüsenarterie,obturator artery; inferior epigastric artery; external iliac artery,artery_aorta; artery_gonadal,rel_00074,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to gonadal artery.
graph_rel_00075_f,anatomy_graph,multiple_choice,Which structure arises as a branch from celiac trunk?,left gastric artery,arteria gastrica sinistra,linke Magenarterie,aorta; superior mesenteric artery; inferior mesenteric artery,artery_celiac_trunk; artery_left_gastric,rel_00075,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,celiac trunk gives a branch to left gastric artery.
graph_rel_00076_f,anatomy_graph,multiple_choice,Which structure arises as a branch from celiac trunk?,splenic artery,arteria splenica,Milzarterie,gastroduodenal artery; gonadal artery; superior mesenteric artery,artery_celiac_trunk; artery_splenic,rel_00076,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,celiac trunk gives a branch to splenic artery.
graph_rel_00077_f,anatomy_graph,multiple_choice,Which structure arises as a branch from celiac trunk?,common hepatic artery,arteria hepatica communis,gemeinsame Leberarterie,proper hepatic artery; appendicular artery; superior mesenteric artery,artery_celiac_trunk; artery_common_hepatic,rel_00077,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,celiac trunk gives a branch to common hepatic artery.
graph_rel_00078_f,anatomy_graph,multiple_choice,Which structure arises as a branch from common hepatic artery?,proper hepatic artery,arteria hepatica propria,eigentliche Leberarterie,left gastric artery; celiac trunk; splenic artery,artery_common_hepatic; artery_proper_hepatic,rel_00078,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,common hepatic artery gives a branch to proper hepatic artery.
graph_rel_00079_f,anatomy_graph,multiple_choice,Which structure arises as a branch from common hepatic artery?,gastroduodenal artery,arteria gastroduodenalis,Magen-Zwölffingerdarm-Arterie,splenic artery; inferior epigastric artery; renal artery,artery_common_hepatic; artery_gastroduodenal,rel_00079,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,common hepatic artery gives a branch to gastroduodenal artery.
graph_rel_0008_f,anatomy_graph,multiple_choice,Which structure is produced by the bifurcation of common carotid artery?,external carotid artery,arteria carotis externa,äußere Halsschlagader,lingual artery; ascending cervical artery; facial artery,artery_common_carotid; artery_external_carotid,rel_0008,bifurcates_into,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:bifurcates_into:forward,common carotid artery bifurcates into external carotid artery.
graph_rel_00080_f,anatomy_graph,multiple_choice,Which structure arises as a branch from superior mesenteric artery?,appendicular artery,arteria appendicularis,Appendixarterie,gastroduodenal artery; inferior epigastric artery; common hepatic artery,artery_superior_mesenteric; artery_appendicular,rel_00080,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,superior mesenteric artery gives a branch to appendicular artery.
graph_rel_00081_f,anatomy_graph,multiple_choice,Which structure arises as a branch from femoral artery?,deep artery of thigh,arteria profunda femoris,tiefe Oberschenkelarterie,lateral circumflex femoral artery; anterior tibial artery; dorsalis pedis artery,artery_femoral; artery_deep_femoral,rel_00081,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,femoral artery gives a branch to deep artery of thigh.
graph_rel_00082_f,anatomy_graph,multiple_choice,Which structure arises as a branch from deep artery of thigh?,medial circumflex femoral artery,arteria circumflexa femoris medialis,mediale Oberschenkelumgehungsarterie,popliteal artery; posterior tibial artery; femoral artery,artery_deep_femoral; artery_medial_circumflex_femoral,rel_00082,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,deep artery of thigh gives a branch to medial circumflex femoral artery.
graph_rel_00083_f,anatomy_graph,multiple_choice,Which structure arises as a branch from deep artery of thigh?,lateral circumflex femoral artery,arteria circumflexa femoris lateralis,laterale Oberschenkelumgehungsarterie,anterior tibial artery; dorsalis pedis artery; external iliac artery,artery_deep_femoral; artery_lateral_circumflex_femoral,rel_00083,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,deep artery of thigh gives a branch to lateral circumflex femoral artery.
graph_rel_00084_f,anatomy_graph,multiple_choice,Which structure arises as a branch from posterior tibial artery?,fibular artery,arteria fibularis,Wadenbeinarterie,lateral circumflex femoral artery; deep artery of thigh; external iliac artery,artery_posterior_tibial; artery_fibular,rel_00084,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,posterior tibial artery gives a branch to fibular artery.
graph_rel_00085_f,anatomy_graph,multiple_choice,What does anterior tibial artery continue as?,dorsalis pedis artery,arteria dorsalis pedis,Fußrückenarterie,popliteal artery; external iliac artery; femoral artery,artery_anterior_tibial; artery_dorsalis_pedis,rel_00085,continues_as,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:continues_as:forward,anterior tibial artery continues as dorsalis pedis artery.
graph_rel_00086_f,anatomy_graph,multiple_choice,Into which structure does azygos vein drain?,superior vena cava,vena cava superior,obere Hohlvene,hemiazygos vein; brachiocephalic vein; inferior vena cava,vein_azygos; vein_superior_vena_cava,rel_00086,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,azygos vein drains to superior vena cava.
graph_rel_00087_f,anatomy_graph,multiple_choice,Into which structure does hemiazygos vein drain?,azygos vein,vena azygos,Azygosvene,accessory hemiazygos vein; inferior vena cava; superior vena cava,vein_hemiazygos; vein_azygos,rel_00087,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,hemiazygos vein drains to azygos vein.
graph_rel_00088_f,anatomy_graph,multiple_choice,Into which structure does accessory hemiazygos vein drain?,azygos vein,vena azygos,Azygosvene,inferior vena cava; superior vena cava; brachiocephalic vein,vein_accessory_hemiazygos; vein_azygos,rel_00088,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,accessory hemiazygos vein drains to azygos vein.
graph_rel_00089_f,anatomy_graph,multiple_choice,Into which structure does renal vein drain?,inferior vena cava,vena cava inferior,untere Hohlvene,brachiocephalic vein; accessory hemiazygos vein; hepatic portal vein,vein_renal; vein_inferior_vena_cava,rel_00089,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,renal vein drains to inferior vena cava.
graph_rel_0009_f,anatomy_graph,multiple_choice,What does subclavian artery continue as?,axillary artery,arteria axillaris,Achselarterie,ulnar artery; deep artery of arm; brachial artery,artery_subclavian; artery_axillary,rel_0009,continues_as,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:continues_as:forward,subclavian artery continues as axillary artery.
graph_rel_00090_f,anatomy_graph,multiple_choice,Into which structure does hepatic veins drain?,inferior vena cava,vena cava inferior,untere Hohlvene,hemiazygos vein; renal vein; superior mesenteric vein,vein_hepatic; vein_inferior_vena_cava,rel_00090,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,hepatic veins drains to inferior vena cava.
graph_rel_00091_f,anatomy_graph,multiple_choice,Into which structure does splenic vein drain?,hepatic portal vein,vena portae hepatis,Pfortader,renal vein; hepatic veins; inferior vena cava,vein_splenic; vein_portal,rel_00091,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,splenic vein drains to hepatic portal vein.
graph_rel_00092_f,anatomy_graph,multiple_choice,Into which structure does superior mesenteric vein drain?,hepatic portal vein,vena portae hepatis,Pfortader,inferior mesenteric vein; hepatic veins; splenic vein,vein_superior_mesenteric; vein_portal,rel_00092,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,superior mesenteric vein drains to hepatic portal vein.
graph_rel_00093_f,anatomy_graph,multiple_choice,Into which structure does inferior mesenteric vein drain?,splenic vein,vena splenica,Milzvene,inferior vena cava; hepatic portal vein; renal vein,vein_inferior_mesenteric; vein_splenic,rel_00093,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,inferior mesenteric vein drains to splenic vein.
graph_rel_00094_f,anatomy_graph,multiple_choice,Into which structure does common iliac vein drain?,inferior vena cava,vena cava inferior,untere Hohlvene,accessory hemiazygos vein; azygos vein; hepatic portal vein,vein_common_iliac; vein_inferior_vena_cava,rel_00094,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,common iliac vein drains to inferior vena cava.
graph_rel_00095_f,anatomy_graph,multiple_choice,Into which structure does popliteal vein drain?,femoral vein,vena femoralis,Oberschenkelvene,great saphenous vein; external iliac vein; small saphenous vein,vein_popliteal; vein_femoral,rel_00095,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,popliteal vein drains to femoral vein.
graph_rel_00096_f,anatomy_graph,multiple_choice,Into which structure does superior sagittal sinus drain?,dural venous sinuses,sinus durae matris,Hirnhautsinus,sigmoid sinus; cavernous sinus; inferior sagittal sinus,sinus_superior_sagittal; sinus_dural_venous,rel_00096,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,superior sagittal sinus drains to dural venous sinuses.
graph_rel_00097_f,anatomy_graph,multiple_choice,Into which structure does sigmoid sinus drain?,internal jugular vein,vena jugularis interna,innere Drosselvene,brachiocephalic vein; subclavian vein; great saphenous vein,sinus_sigmoid; vein_internal_jugular,rel_00097,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,sigmoid sinus drains to internal jugular vein.
graph_rel_00098_f,anatomy_graph,multiple_choice,Into which structure does superior petrosal sinus drain?,transverse sinus,sinus transversus,Quersinus,sigmoid sinus; straight sinus; inferior petrosal sinus,sinus_superior_petrosal; sinus_transverse,rel_00098,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,superior petrosal sinus drains to transverse sinus.
graph_rel_00099_f,anatomy_graph,multiple_choice,Into which structure does inferior petrosal sinus drain?,internal jugular vein,vena jugularis interna,innere Drosselvene,subclavian vein; brachiocephalic vein; splenic vein,sinus_inferior_petrosal; vein_internal_jugular,rel_00099,drains_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:drains_to:forward,inferior petrosal sinus drains to internal jugular vein.
graph_rel_0010_f,anatomy_graph,multiple_choice,What does axillary artery continue as?,brachial artery,arteria brachialis,Oberarmarterie,deep artery of arm; radial artery; posterior circumflex humeral artery,artery_axillary; artery_brachial,rel_0010,continues_as,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:continues_as:forward,axillary artery continues as brachial artery.
graph_rel_00100_f,anatomy_graph,multiple_choice,long thoracic nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,cervical plexus; pharyngeal plexus; ansa cervicalis,nerve_long_thoracic; plexus_brachial,rel_00100,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,long thoracic nerve is a branch of brachial plexus.
graph_rel_00100_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,long thoracic nerve,nervus thoracicus longus,langer Brustnerv,median nerve; axillary nerve; musculocutaneous nerve,nerve_long_thoracic; plexus_brachial,rel_00100,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,long thoracic nerve is a branch of brachial plexus.
graph_rel_00101_f,anatomy_graph,multiple_choice,suprascapular nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,pharyngeal plexus; cervical plexus; ansa cervicalis,nerve_suprascapular; plexus_brachial,rel_00101,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,suprascapular nerve is a branch of brachial plexus.
graph_rel_00101_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,suprascapular nerve,nervus suprascapularis,Suprascapularisnerv,radial nerve; ulnar nerve; musculocutaneous nerve,nerve_suprascapular; plexus_brachial,rel_00101,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,suprascapular nerve is a branch of brachial plexus.
graph_rel_00102_f,anatomy_graph,multiple_choice,lateral pectoral nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,pharyngeal plexus; cervical plexus; ansa cervicalis,nerve_lateral_pectoral; plexus_brachial,rel_00102,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,lateral pectoral nerve is a branch of brachial plexus.
graph_rel_00102_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,lateral pectoral nerve,nervus pectoralis lateralis,lateraler Brustnerv,ulnar nerve; axillary nerve; radial nerve,nerve_lateral_pectoral; plexus_brachial,rel_00102,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,lateral pectoral nerve is a branch of brachial plexus.
graph_rel_00103_f,anatomy_graph,multiple_choice,medial pectoral nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,ansa cervicalis; pharyngeal plexus; cervical plexus,nerve_medial_pectoral; plexus_brachial,rel_00103,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,medial pectoral nerve is a branch of brachial plexus.
graph_rel_00103_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,medial pectoral nerve,nervus pectoralis medialis,medialer Brustnerv,musculocutaneous nerve; radial nerve; median nerve,nerve_medial_pectoral; plexus_brachial,rel_00103,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,medial pectoral nerve is a branch of brachial plexus.
graph_rel_00104_f,anatomy_graph,multiple_choice,thoracodorsal nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,pharyngeal plexus; ansa cervicalis; cervical plexus,nerve_thoracodorsal; plexus_brachial,rel_00104,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,thoracodorsal nerve is a branch of brachial plexus.
graph_rel_00104_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,thoracodorsal nerve,nervus thoracodorsalis,Thoracodorsalisnerv,radial nerve; musculocutaneous nerve; ulnar nerve,nerve_thoracodorsal; plexus_brachial,rel_00104,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,thoracodorsal nerve is a branch of brachial plexus.
graph_rel_00105_f,anatomy_graph,multiple_choice,upper subscapular nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,pharyngeal plexus; cervical plexus; ansa cervicalis,nerve_subscapular_upper; plexus_brachial,rel_00105,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,upper subscapular nerve is a branch of brachial plexus.
graph_rel_00105_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,upper subscapular nerve,nervus subscapularis superior,oberer Subscapularisnerv,axillary nerve; median nerve; musculocutaneous nerve,nerve_subscapular_upper; plexus_brachial,rel_00105,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,upper subscapular nerve is a branch of brachial plexus.
graph_rel_00106_f,anatomy_graph,multiple_choice,lower subscapular nerve is a branch of which structure?,brachial plexus,plexus brachialis,Armgeflecht,ansa cervicalis; pharyngeal plexus; cervical plexus,nerve_subscapular_lower; plexus_brachial,rel_00106,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,lower subscapular nerve is a branch of brachial plexus.
graph_rel_00106_r,anatomy_graph,multiple_choice,Which structure is a branch of brachial plexus?,lower subscapular nerve,nervus subscapularis inferior,unterer Subscapularisnerv,ulnar nerve; median nerve; musculocutaneous nerve,nerve_subscapular_lower; plexus_brachial,rel_00106,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,lower subscapular nerve is a branch of brachial plexus.
graph_rel_00107_f,anatomy_graph,multiple_choice,lateral femoral cutaneous nerve is a branch of which structure?,lumbar plexus,plexus lumbalis,Lendengeflecht,sacral plexus; cervical plexus; pharyngeal plexus,nerve_lateral_femoral_cutaneous; plexus_lumbar,rel_00107,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,lateral femoral cutaneous nerve is a branch of lumbar plexus.
graph_rel_00107_r,anatomy_graph,multiple_choice,Which structure is a branch of lumbar plexus?,lateral femoral cutaneous nerve,nervus cutaneus femoris lateralis,lateraler Oberschenkelhautnerv,sciatic nerve; saphenous nerve; common fibular nerve,nerve_lateral_femoral_cutaneous; plexus_lumbar,rel_00107,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,lateral femoral cutaneous nerve is a branch of lumbar plexus.
graph_rel_00108_f,anatomy_graph,multiple_choice,saphenous nerve is a branch of which structure?,femoral nerve,nervus femoralis,Femoralisnerv,obturator nerve; lateral femoral cutaneous nerve; common fibular nerve,nerve_saphenous; nerve_femoral,rel_00108,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,saphenous nerve is a branch of femoral nerve.
graph_rel_00108_r,anatomy_graph,multiple_choice,Which structure is a branch of femoral nerve?,saphenous nerve,nervus saphenus,Saphenusnerv,lateral femoral cutaneous nerve; superior gluteal nerve; obturator nerve,nerve_saphenous; nerve_femoral,rel_00108,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,saphenous nerve is a branch of femoral nerve.
graph_rel_00109_f,anatomy_graph,multiple_choice,superior gluteal nerve is a branch of which structure?,sacral plexus,plexus sacralis,Kreuzbeingeflecht,lumbar plexus; brachial plexus; ansa cervicalis,nerve_superior_gluteal; plexus_sacral,rel_00109,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,superior gluteal nerve is a branch of sacral plexus.
graph_rel_00109_r,anatomy_graph,multiple_choice,Which structure is a branch of sacral plexus?,superior gluteal nerve,nervus gluteus superior,oberer Gesäßnerv,saphenous nerve; sciatic nerve; obturator nerve,nerve_superior_gluteal; plexus_sacral,rel_00109,branch_of,reverse,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:reverse,superior gluteal nerve is a branch of sacral plexus.
graph_rel_0011_f,anatomy_graph,multiple_choice,Which structure is produced by the bifurcation of brachial artery?,radial artery,arteria radialis,Speichenarterie,axillary artery; deep artery of arm; subclavian artery,artery_brachial; artery_radial,rel_0011,bifurcates_into,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:bifurcates_into:forward,brachial artery bifurcates into radial artery.
graph_rel_00110_f,anatomy_graph,multiple_choice,inferior gluteal nerve is a branch of which structure?,sacral plexus,plexus sacralis,Kreuzbeingeflecht,lumbar plexus; cervical plexus; brachial plexus,nerve_inferior_gluteal; plexus_sacral,rel_00110,branch_of,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:branch_of:forward,inferior gluteal nerve is a branch of sacral plexus.
