id,type,english,latin,german,region,system,parent_id,course_tags,key_features,clinical_notes,details_json,muscle_categories,muscle_parts,muscle_origin,muscle_insertion,muscle_innervation,muscle_blood_supply,muscle_actions,oral_exam_prompts,common_confusions,review_status
artery_celiac_trunk,artery,celiac trunk,truncus coeliacus,Truncus coeliacus,abdomen,cardiovascular,,anat2_week_02,foregut arterial trunk,,"{""branches"":[""left gastric artery"",""splenic artery"",""common hepatic artery""]}",,,,,,,,,,seed_needs_review
artery_superior_mesenteric,artery,superior mesenteric artery,arteria mesenterica superior,obere Mesenterialarterie,abdomen,cardiovascular,,anat2_week_02,midgut arterial supply,,"{""branches"":[""intestinal branches"",""ileocolic"",""right colic"",""middle colic""]}",,,,,,,,,,seed_needs_review
artery_inferior_mesenteric,artery,inferior mesenteric artery,arteria mesenterica inferior,untere Mesenterialarterie,abdomen,cardiovascular,,anat2_week_02,hindgut arterial supply,,"{""branches"":[""left colic"",""sigmoid arteries"",""superior rectal artery""]}",,,,,,,,,,seed_needs_review
artery_common_iliac,artery,common iliac artery,arteria iliaca communis,gemeinsame Darmbeinarterie,pelvis,cardiovascular,,anat2_week_02,terminal branch of abdominal aorta,,"{""branches"":[""internal iliac artery"",""external iliac artery""]}",,,,,,,,,,seed_needs_review
artery_internal_iliac,artery,internal iliac artery,arteria iliaca interna,innere Darmbeinarterie,pelvis,cardiovascular,,anat2_week_02,pelvic arterial supply,,"{""branches"":[""visceral pelvic branches"",""parietal pelvic branches""]}",,,,,,,,,,seed_needs_review
artery_external_iliac,artery,external iliac artery,arteria iliaca externa,äußere Darmbeinarterie,pelvis; lower limb,cardiovascular,,anat2_week_02,continues as femoral artery,,"{""branches"":[""inferior epigastric artery"",""deep circumflex iliac artery""]}",,,,,,,,,,seed_needs_review
artery_femoral,artery,femoral artery,arteria femoralis,Oberschenkelarterie,lower limb,cardiovascular,,anat1_week_07,main artery of thigh,,"{""branches"":[""deep artery of thigh"",""circumflex femoral arteries""]}",,,,,,,,,,seed_needs_review
artery_popliteal,artery,popliteal artery,arteria poplitea,Kniekehlenarterie,lower limb,cardiovascular,,anat1_week_07,artery behind knee,,"{""branches"":[""genicular branches"",""anterior tibial artery"",""posterior tibial artery""]}",,,,,,,,,,seed_needs_review
artery_anterior_tibial,artery,anterior tibial artery,arteria tibialis anterior,vordere Schienbeinarterie,lower limb,cardiovascular,,anat1_week_07,supplies anterior leg and dorsum of foot,,"{""continuation"":""dorsalis pedis artery""}",,,,,,,,,,seed_needs_review
artery_posterior_tibial,artery,posterior tibial artery,arteria tibialis posterior,hintere Schienbeinarterie,lower limb,cardiovascular,,anat1_week_07,supplies posterior leg and plantar foot,,"{""branches"":[""fibular artery"",""plantar arteries""]}",,,,,,,,,,seed_needs_review
vein_superior_vena_cava,vein,superior vena cava,vena cava superior,obere Hohlvene,thorax,cardiovascular,,anat1_week_09,returns blood from upper body to right atrium,,"{""formed_by"":[""brachiocephalic veins""],""drains_to"":""right atrium""}",,,,,,,,,,seed_needs_review
vein_inferior_vena_cava,vein,inferior vena cava,vena cava inferior,untere Hohlvene,abdomen; thorax,cardiovascular,,anat2_week_02,returns blood from lower body to right atrium,,"{""formed_by"":[""common iliac veins""],""drains_to"":""right atrium""}",,,,,,,,,,seed_needs_review
vein_internal_jugular,vein,internal jugular vein,vena jugularis interna,innere Drosselvene,head; neck,cardiovascular,,anat2_week_04,major venous drainage of brain and neck,,"{""drains_to"":""brachiocephalic vein""}",,,,,,,,,,seed_needs_review
vein_subclavian,vein,subclavian vein,vena subclavia,Unterschlüsselbeinvene,neck; upper limb,cardiovascular,,anat1_week_06; anat2_week_04,drains upper limb,,"{""drains_to"":""brachiocephalic vein""}",,,,,,,,,,seed_needs_review
vein_brachiocephalic,vein,brachiocephalic vein,vena brachiocephalica,Arm-Kopf-Vene,thorax; neck,cardiovascular,,anat1_week_09,formed by internal jugular and subclavian veins,,"{""drains_to"":""superior vena cava""}",,,,,,,,,,seed_needs_review
vein_axillary,vein,axillary vein,vena axillaris,Achselvene,upper limb; axilla,cardiovascular,,anat1_week_06,main vein of axilla,,"{""drains_to"":""subclavian vein""}",,,,,,,,,,seed_needs_review
vein_cephalic,vein,cephalic vein,vena cephalica,Vena cephalica,upper limb,cardiovascular,,anat1_week_06,superficial lateral upper limb vein,,"{""drains_to"":""axillary vein""}",,,,,,,,,,seed_needs_review
vein_basilic,vein,basilic vein,vena basilica,Vena basilica,upper limb,cardiovascular,,anat1_week_06,superficial medial upper limb vein,,"{""drains_to"":""axillary vein""}",,,,,,,,,,seed_needs_review
vein_portal,vein,hepatic portal vein,vena portae hepatis,Pfortader,abdomen,cardiovascular,,anat1_week_13; anat2_week_02,carries venous blood from gastrointestinal tract to liver,,"{""formed_by"":[""superior mesenteric vein"",""splenic vein""],""drains_to"":""liver""}",,,,,,,,,,seed_needs_review
vein_femoral,vein,femoral vein,vena femoralis,Oberschenkelvene,lower limb,cardiovascular,,anat1_week_07,main deep vein of thigh,,"{""drains_to"":""external iliac vein""}",,,,,,,,,,seed_needs_review
vein_great_saphenous,vein,great saphenous vein,vena saphena magna,große Rosenvene,lower limb,cardiovascular,,anat1_week_07,long superficial vein of medial lower limb,,"{""drains_to"":""femoral vein""}",,,,,,,,,,seed_needs_review
sinus_cavernous,venous_sinus,cavernous sinus,sinus cavernosus,Sinus cavernosus,skull; cranial cavity,cardiovascular,,anat1_week_03; anat2_week_03,dural venous sinus beside sella turcica,,"{""contents"":[""internal carotid artery"",""abducens nerve"",""CN III, IV, V1, V2 in lateral wall""]}",,,,,,,,,,seed_needs_review
sinus_dural_venous,venous_sinus,dural venous sinuses,sinus durae matris,Hirnhautsinus,cranial cavity,cardiovascular,,anat2_week_10,venous channels between layers of dura,,"{""examples"":[""superior sagittal sinus"",""straight sinus"",""transverse sinus"",""sigmoid sinus"",""cavernous sinus""]}",,,,,,,,,,seed_needs_review
plexus_brachial,nerve_plexus,brachial plexus,plexus brachialis,Armgeflecht,upper limb; neck; axilla,nervous,,anat1_week_06; anat1_week_07,formed by anterior rami C5–T1,,"{""roots"":[""C5"",""C6"",""C7"",""C8"",""T1""],""terminal_branches"":[""musculocutaneous"",""axillary"",""radial"",""median"",""ulnar""]}",,,,,,,,,,seed_needs_review
plexus_lumbar,nerve_plexus,lumbar plexus,plexus lumbalis,Lendengeflecht,posterior abdominal wall; lower limb,nervous,,anat1_week_07,formed mainly by L1–L4,,"{""major_branches"":[""femoral"",""obturator"",""lateral femoral cutaneous""]}",,,,,,,,,,seed_needs_review
plexus_sacral,nerve_plexus,sacral plexus,plexus sacralis,Kreuzbeingeflecht,pelvis; lower limb,nervous,,anat1_week_07,formed by lumbosacral trunk and S1–S4,,"{""major_branches"":[""sciatic"",""superior gluteal"",""inferior gluteal"",""pudendal""]}",,,,,,,,,,seed_needs_review
nerve_musculocutaneous,nerve,musculocutaneous nerve,nervus musculocutaneus,Muskel-Haut-Nerv,upper limb,nervous,,anat1_week_06,motor to anterior arm muscles,,"{""roots"":[""C5"",""C6"",""C7""],""motor"":[""coracobrachialis"",""biceps brachii"",""brachialis""],""sensory"":[""lateral forearm""]}",,,,,,,,,,seed_needs_review
nerve_median,nerve,median nerve,nervus medianus,Medianusnerv,upper limb,nervous,,anat1_week_06,passes through carpal tunnel,,"{""roots"":[""C5"",""C6"",""C7"",""C8"",""T1""],""motor"":[""most anterior forearm flexors"",""thenar muscles""],""sensory"":[""lateral palm and lateral digits""]}",,,,,,,,,,seed_needs_review
nerve_ulnar,nerve,ulnar nerve,nervus ulnaris,Ulnarisnerv,upper limb,nervous,,anat1_week_06,passes behind medial epicondyle,,"{""roots"":[""C8"",""T1""],""motor"":[""most intrinsic hand muscles""],""sensory"":[""medial hand""]}",,,,,,,,,,seed_needs_review
nerve_radial,nerve,radial nerve,nervus radialis,Radialisnerv,upper limb,nervous,,anat1_week_06,runs in radial groove; supplies extensor compartments,,"{""roots"":[""C5"",""C6"",""C7"",""C8"",""T1""],""motor"":[""posterior arm"",""posterior forearm""],""sensory"":[""posterior upper limb""]}",,,,,,,,,,seed_needs_review
nerve_axillary,nerve,axillary nerve,nervus axillaris,Axillarisnerv,upper limb,nervous,,anat1_week_06,passes through quadrangular space,,"{""roots"":[""C5"",""C6""],""motor"":[""deltoid"",""teres minor""],""sensory"":[""skin over deltoid""]}",,,,,,,,,,seed_needs_review
nerve_femoral,nerve,femoral nerve,nervus femoralis,Femoralisnerv,lower limb,nervous,,anat1_week_07,largest branch of lumbar plexus,,"{""roots"":[""L2"",""L3"",""L4""],""motor"":[""anterior thigh""],""sensory"":[""anterior thigh"",""medial leg""]}",,,,,,,,,,seed_needs_review
nerve_obturator,nerve,obturator nerve,nervus obturatorius,Obturatoriusnerv,lower limb,nervous,,anat1_week_07,passes through obturator canal,,"{""roots"":[""L2"",""L3"",""L4""],""motor"":[""medial thigh adductors""],""sensory"":[""medial thigh""]}",,,,,,,,,,seed_needs_review
nerve_sciatic,nerve,sciatic nerve,nervus ischiadicus,Ischiasnerv,lower limb,nervous,,anat1_week_07,largest nerve of body,,"{""roots"":[""L4"",""L5"",""S1"",""S2"",""S3""],""branches"":[""tibial"",""common fibular""]}",,,,,,,,,,seed_needs_review
nerve_tibial,nerve,tibial nerve,nervus tibialis,Tibialisnerv,lower limb,nervous,,anat1_week_07,supplies posterior leg and plantar foot,,"{""roots"":[""L4"",""L5"",""S1"",""S2"",""S3""]}",,,,,,,,,,seed_needs_review
nerve_common_fibular,nerve,common fibular nerve,nervus fibularis communis,gemeinsamer Wadenbeinnerv,lower limb,nervous,,anat1_week_07,winds around fibular neck,,"{""roots"":[""L4"",""L5"",""S1"",""S2""],""branches"":[""deep fibular"",""superficial fibular""]}",,,,,,,,,,seed_needs_review
nerve_cn_i,cranial_nerve,olfactory nerve (CN I),nervus olfactorius,Riechnerv (I),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve I; smell,,"{""cranial_nerve_number"":""I"",""main_function"":""smell""}",,,,,,,,,,seed_needs_review
nerve_cn_ii,cranial_nerve,optic nerve (CN II),nervus opticus,Sehnerv (II),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve II; vision,,"{""cranial_nerve_number"":""II"",""main_function"":""vision""}",,,,,,,,,,seed_needs_review
nerve_cn_iii,cranial_nerve,oculomotor nerve (CN III),nervus oculomotorius,Augenbewegungsnerv (III),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve III; most extraocular muscles and parasympathetic pupil constriction,,"{""cranial_nerve_number"":""III"",""main_function"":""most extraocular muscles and parasympathetic pupil constriction""}",,,,,,,,,,seed_needs_review
nerve_cn_iv,cranial_nerve,trochlear nerve (CN IV),nervus trochlearis,Rollnerv (IV),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve IV; superior oblique muscle,,"{""cranial_nerve_number"":""IV"",""main_function"":""superior oblique muscle""}",,,,,,,,,,seed_needs_review
nerve_cn_v,cranial_nerve,trigeminal nerve (CN V),nervus trigeminus,Drillingsnerv (V),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve V; facial sensation and muscles of mastication,,"{""cranial_nerve_number"":""V"",""main_function"":""facial sensation and muscles of mastication""}",,,,,,,,,,seed_needs_review
nerve_cn_vi,cranial_nerve,abducens nerve (CN VI),nervus abducens,Abziehnerv (VI),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve VI; lateral rectus muscle,,"{""cranial_nerve_number"":""VI"",""main_function"":""lateral rectus muscle""}",,,,,,,,,,seed_needs_review
nerve_cn_vii,cranial_nerve,facial nerve (CN VII),nervus facialis,Gesichtsnerv (VII),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve VII; facial expression and taste anterior tongue,,"{""cranial_nerve_number"":""VII"",""main_function"":""facial expression and taste anterior tongue""}",,,,,,,,,,seed_needs_review
nerve_cn_viii,cranial_nerve,vestibulocochlear nerve (CN VIII),nervus vestibulocochlearis,Hör- und Gleichgewichtsnerv (VIII),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve VIII; hearing and balance,,"{""cranial_nerve_number"":""VIII"",""main_function"":""hearing and balance""}",,,,,,,,,,seed_needs_review
nerve_cn_ix,cranial_nerve,glossopharyngeal nerve (CN IX),nervus glossopharyngeus,Zungen-Rachen-Nerv (IX),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,"cranial nerve IX; posterior tongue, stylopharyngeus and parotid parasympathetic supply",,"{""cranial_nerve_number"":""IX"",""main_function"":""posterior tongue, stylopharyngeus and parotid parasympathetic supply""}",,,,,,,,,,seed_needs_review
nerve_cn_x,cranial_nerve,vagus nerve (CN X),nervus vagus,Vagusnerv (X),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,"cranial nerve X; pharynx, larynx and thoracoabdominal parasympathetic supply",,"{""cranial_nerve_number"":""X"",""main_function"":""pharynx, larynx and thoracoabdominal parasympathetic supply""}",,,,,,,,,,seed_needs_review
nerve_cn_xi,cranial_nerve,accessory nerve (CN XI),nervus accessorius,Zusatznerv (XI),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve XI; sternocleidomastoid and trapezius,,"{""cranial_nerve_number"":""XI"",""main_function"":""sternocleidomastoid and trapezius""}",,,,,,,,,,seed_needs_review
nerve_cn_xii,cranial_nerve,hypoglossal nerve (CN XII),nervus hypoglossus,Unterzungennerv (XII),head; cranial cavity,nervous,,anat2_week_03; anat2_week_04; anat2_week_05; anat2_week_06,cranial nerve XII; tongue muscles except palatoglossus,,"{""cranial_nerve_number"":""XII"",""main_function"":""tongue muscles except palatoglossus""}",,,,,,,,,,seed_needs_review
foramen_magnum,foramen,foramen magnum,foramen magnum,großes Hinterhauptloch,skull; cranial base,skeletal; nervous,,anat1_week_02,large opening in occipital bone,,"{""contents"":[""medulla/spinal cord transition"",""vertebral arteries"",""spinal roots of accessory nerve""]}",,,,,,,,,,seed_needs_review
canal_optic,canal,optic canal,canalis opticus,Sehnervenkanal,skull; orbit,skeletal; nervous,,anat1_week_02; anat2_week_12,canal through lesser wing of sphenoid,,"{""contents"":[""optic nerve"",""ophthalmic artery""]}",,,,,,,,,,seed_needs_review
fissure_superior_orbital,fissure,superior orbital fissure,fissura orbitalis superior,obere Augenhöhlenspalte,skull; orbit,skeletal; nervous,,anat1_week_02; anat2_week_03,opening between sphenoid wings,,"{""contents"":[""CN III"",""CN IV"",""V1"",""CN VI"",""superior ophthalmic vein""]}",,,,,,,,,,seed_needs_review
foramen_rotundum,foramen,foramen rotundum,foramen rotundum,rundes Loch,skull; cranial base,skeletal; nervous,,anat1_week_02,opening for maxillary nerve,,"{""contents"":[""maxillary nerve (V2)""]}",,,,,,,,,,seed_needs_review
foramen_ovale,foramen,foramen ovale,foramen ovale,ovales Loch,skull; cranial base,skeletal; nervous,,anat1_week_02,opening for mandibular nerve,,"{""contents"":[""mandibular nerve (V3)""]}",,,,,,,,,,seed_needs_review
foramen_spinosum,foramen,foramen spinosum,foramen spinosum,Dornloch,skull; cranial base,skeletal; nervous,,anat1_week_02,opening for middle meningeal artery,,"{""contents"":[""middle meningeal artery""]}",,,,,,,,,,seed_needs_review
foramen_jugular,foramen,jugular foramen,foramen jugulare,Drosselloch,skull; cranial base,skeletal; nervous,,anat1_week_03; anat2_week_03,"opening for CN IX, X and XI and venous drainage",,"{""contents"":[""CN IX"",""CN X"",""CN XI"",""internal jugular vein continuation""]}",,,,,,,,,,seed_needs_review
canal_hypoglossal,canal,hypoglossal canal,canalis nervi hypoglossi,Hypoglossuskanal,skull; cranial base,skeletal; nervous,,anat1_week_03; anat2_week_03,canal for hypoglossal nerve,,"{""contents"":[""hypoglossal nerve""]}",,,,,,,,,,seed_needs_review
space_pterygopalatine_fossa,space,pterygopalatine fossa,fossa pterygopalatina,Flügelgaumengrube,skull; face,skeletal; nervous,,anat1_week_03,deep facial space and neurovascular crossroads,,"{""contents"":[""pterygopalatine ganglion"",""maxillary nerve branches"",""terminal maxillary artery branches""]}",,,,,,,,,,seed_needs_review
space_infratemporal_fossa,space,infratemporal fossa,fossa infratemporalis,Unterschläfengrube,skull; face,skeletal; nervous,,anat1_week_03,space medial to mandibular ramus,,"{""contents"":[""muscles of mastication"",""mandibular nerve branches"",""maxillary artery"",""pterygoid venous plexus""]}",,,,,,,,,,seed_needs_review
organ_heart,organ,heart,cor,Herz,thorax; mediastinum,cardiovascular,,anat1_week_09; anat1_week_10,four-chambered muscular pump,,"{""parts"":[""right atrium"",""right ventricle"",""left atrium"",""left ventricle"",""valves""]}",,,,,,,,,,seed_needs_review
organ_lung,organ,lung,pulmo,Lunge,thorax,respiratory,,anat1_week_11,paired organ in pleural cavity,,"{""parts"":[""apex"",""base"",""lobes"",""hilum"",""bronchopulmonary segments""]}",,,,,,,,,,seed_needs_review
structure_pleura,serous_membrane,pleura,pleura,Pleura,thorax,respiratory,,anat1_week_11,visceral and parietal serous membrane around lung,,"{""parts"":[""visceral pleura"",""parietal pleura"",""pleural cavity""]}",,,,,,,,,,seed_needs_review
structure_trachea,airway,trachea,trachea,Luftröhre,neck; thorax,respiratory,,anat1_week_11,airway from larynx to main bronchi,,"{""landmark"":""carina""}",,,,,,,,,,seed_needs_review
structure_larynx,airway,larynx,larynx,Kehlkopf,neck,respiratory,,anat1_week_10,voice box connecting pharynx and trachea,,"{""cartilages"":[""thyroid"",""cricoid"",""arytenoid"",""epiglottis""]}",,,,,,,,,,seed_needs_review
organ_stomach,organ,stomach,gaster,Magen,abdomen,digestive,,anat1_week_12,dilated digestive organ between oesophagus and duodenum,,"{""parts"":[""cardia"",""fundus"",""body"",""pylorus""]}",,,,,,,,,,seed_needs_review
organ_small_intestine,organ,small intestine,intestinum tenue,Dünndarm,abdomen,digestive,,anat1_week_12,"duodenum, jejunum and ileum",,"{""parts"":[""duodenum"",""jejunum"",""ileum""]}",,,,,,,,,,seed_needs_review
organ_large_intestine,organ,large intestine,intestinum crassum,Dickdarm,abdomen; pelvis,digestive,,anat1_week_12,"caecum, colon, rectum and anal canal",,"{""parts"":[""caecum"",""appendix"",""colon"",""rectum"",""anal canal""]}",,,,,,,,,,seed_needs_review
organ_liver,organ,liver,hepar,Leber,abdomen,digestive,,anat1_week_13,large metabolic organ receiving portal venous and hepatic arterial inflow,,"{""blood_supply"":[""hepatic portal vein"",""proper hepatic artery""]}",,,,,,,,,,seed_needs_review
organ_pancreas,organ,pancreas,pancreas,Bauchspeicheldrüse,abdomen,digestive; endocrine,,anat1_week_13,retroperitoneal gland with exocrine and endocrine functions,,"{""parts"":[""head"",""neck"",""body"",""tail""]}",,,,,,,,,,seed_needs_review
structure_peritoneum,serous_membrane,peritoneum,peritoneum,Bauchfell,abdomen; pelvis,digestive,,anat1_week_13,serous membrane of abdominal cavity,,"{""parts"":[""parietal peritoneum"",""visceral peritoneum"",""mesentery"",""omentum""]}",,,,,,,,,,seed_needs_review
