id,pharm_type,english_name,slovak_name,drug_class,subclass,mechanism_of_action,indications,contraindications,adverse_effects_common,adverse_effects_serious,interactions_key,pregnancy,routes,onset,duration,notes
ans_011,drug,Edrophonium,Edrofónium,Cholinergic agonists,AChE inhibitor (indirect cholinomimetic),Short-acting reversible AChE inhibitor.,Historic/rare: diagnostic test in myasthenia gravis; reversal of NMB (limited).,Mechanical GI/GU obstruction; bradyarrhythmias; asthma/COPD.,Bradycardia; GI cramping.,Severe bradycardia/bronchospasm.,Additive bradycardia with beta blockers; antagonized by atropine.,avoid/rarely used,IV,minutes,~10–20 min,Mostly replaced by better diagnostics; include for completeness.
ans_012,drug_class,Antimuscarinics (parasympatholytics),Antimuskariniká (parasympatolytiká),Antimuscarinics,overview,"Competitive antagonists at muscarinic receptors; reduce parasympathetic tone (secretions, bronchoconstriction, GI motility, bladder contraction) and can cause mydriasis/tachycardia.",Bradycardia; organophosphate poisoning (adjunct); COPD/asthma (inhaled); overactive bladder; motion sickness; GI spasm; preoperative secretion reduction; Parkinson tremor (selected).,"Narrow-angle glaucoma; urinary retention/BPH; ileus; myasthenia gravis (caution, except for specific uses).",Dry mouth; blurred vision; constipation; urinary retention; tachycardia.,Hyperthermia; acute angle-closure glaucoma; severe urinary retention; delirium (elderly).,Additive anticholinergic burden with TCAs/antipsychotics/1st gen antihistamines; reduces GI absorption of some drugs; caution with dementia meds (AChEIs).,caution/avoid (agent-dependent),PO; IV; IM; inhalation; ophthalmic; transdermal,minutes to hours,hours to days (agent-dependent),"Classic toxidrome: hot as a hare, dry as a bone, blind as a bat, mad as a hatter; physostigmine can reverse severe central toxicity in selected cases."
ans_013,drug,Atropine,Atropín,Antimuscarinics,antimuscarinic,Competitive muscarinic antagonist; increases HR; reduces secretions; bronchodilation.,Symptomatic bradycardia; organophosphate poisoning (with pralidoxime); preop secretion reduction.,Narrow-angle glaucoma; urinary retention; ileus; tachyarrhythmias (caution).,Dry mouth; blurred vision; tachycardia; constipation.,Delirium; hyperthermia; arrhythmias.,Additive anticholinergic effects; caution with other tachycardic agents.,caution,IV; IM; SC; ophthalmic,minutes (IV),~2–4 h,Primary antidote for muscarinic symptoms in cholinesterase inhibitor poisoning.
ans_014,drug,Scopolamine,Skopolamín,Antimuscarinics,antimuscarinic,Muscarinic antagonist (CNS-penetrant) reduces vestibular signaling.,Motion sickness prophylaxis; postoperative nausea (selected).,Narrow-angle glaucoma; urinary retention; delirium risk (elderly).,Dry mouth; drowsiness; blurred vision.,Delirium; confusion; urinary retention.,Additive CNS depression/anticholinergic effects.,caution,transdermal; PO,hours (patch),~3 days (patch),Transdermal patch common.
ans_015,drug,Ipratropium,Ipratrópiový bromid,Antimuscarinics,antimuscarinic,Inhaled muscarinic antagonist (M3) bronchodilation; minimal systemic absorption.,COPD; asthma adjunct.,Hypersensitivity; narrow-angle glaucoma (nebulized mist contact risk).,Dry mouth; cough.,Paradoxical bronchospasm (rare); acute glaucoma if aerosol into eyes.,Additive with other anticholinergics.,caution,inhalation,minutes,~4–6 h,Short-acting (SAMA).
ans_016,drug,Tiotropium,Tiotrópiový bromid,Antimuscarinics,antimuscarinic,Long-acting inhaled muscarinic antagonist (LAMA) bronchodilation.,COPD maintenance; asthma add-on (selected).,Hypersensitivity; narrow-angle glaucoma/urinary retention (caution).,Dry mouth; constipation.,Urinary retention; glaucoma exacerbation (rare).,Additive with other anticholinergics.,caution,inhalation,~30 min,~24 h,Once daily LAMA.
ans_017,drug,Glycopyrrolate,Glycopyrolát (glycopyrrónium),Antimuscarinics,antimuscarinic,Quaternary antimuscarinic reduces secretions; minimal CNS effects.,Preop secretion reduction; with neostigmine for NMB reversal; drooling (selected).,Narrow-angle glaucoma; urinary retention; ileus.,Dry mouth; tachycardia.,Hyperthermia; severe urinary retention.,Additive anticholinergic burden.,caution,IV; IM; PO,minutes (IV),hours,Preferred over atropine when avoiding CNS effects.
ans_018,drug,Oxybutynin,Oxybutynín,Antimuscarinics,antimuscarinic,Antimuscarinic (M3) decreases detrusor overactivity.,Overactive bladder; urge incontinence.,Urinary retention; gastric retention/ileus; narrow-angle glaucoma.,Dry mouth; constipation; blurred vision.,Urinary retention; delirium (elderly).,Additive anticholinergic effects; CYP interactions vary by formulation.,caution,PO; transdermal,hours,hours,High anticholinergic burden vs newer agents.
ans_019,drug,Tolterodine,Tolterodín,Antimuscarinics,antimuscarinic,Antimuscarinic for OAB (more bladder-selective than oxybutynin).,Overactive bladder.,Urinary retention; gastric retention; narrow-angle glaucoma.,Dry mouth; constipation.,QT prolongation (rare); urinary retention.,CYP3A4 inhibitors can increase levels (some formulations).,caution,PO,hours,~12–24 h (ER),ER formulation reduces peak AEs.
ans_020,drug,Solifenacin,Solifenacín,Antimuscarinics,antimuscarinic,M3-selective antimuscarinic for OAB.,Overactive bladder.,Urinary retention; gastric retention; narrow-angle glaucoma.,Dry mouth; constipation.,"QT prolongation (dose-related, rare); urinary retention.",CYP3A4 inhibitors increase exposure; additive QT risk with other QT-prolonging drugs.,caution,PO,hours,~24 h,"More M3-selective, still anticholinergic AEs."
ans_021,drug,Trospium,Trospium,Antimuscarinics,antimuscarinic,Quaternary antimuscarinic for OAB (less CNS penetration).,Overactive bladder.,Urinary retention; gastric retention; narrow-angle glaucoma.,Dry mouth; constipation.,Urinary retention; tachyarrhythmias (rare).,Additive anticholinergic burden; separate from high-fat meals (absorption).,caution,PO,hours,hours,Lower CNS effects due to quaternary structure.
ans_022,drug,Benztropine,Benzatropín,Antimuscarinics,antimuscarinic,Central antimuscarinic (also antihistamine) improves Parkinson tremor and drug-induced EPS.,Parkinson disease tremor; antipsychotic-induced extrapyramidal symptoms.,Narrow-angle glaucoma; urinary retention; ileus; dementia (caution).,Dry mouth; constipation; blurred vision; confusion.,Delirium; hyperthermia.,Additive anticholinergic effects; avoid with other strong anticholinergics.,caution/avoid,PO; IM; IV,hours,hours,"Use lowest effective dose, especially elderly."
ans_023,drug,Trihexyphenidyl,Trihexyfenidyl,Antimuscarinics,antimuscarinic,Central antimuscarinic for Parkinson tremor/EPS.,Parkinson disease tremor; drug-induced EPS.,Narrow-angle glaucoma; urinary retention; ileus; dementia (caution).,Dry mouth; constipation; blurred vision.,Delirium; urinary retention.,Additive anticholinergic burden.,caution/avoid,PO,hours,hours,Similar role to benztropine.
ans_024,drug,Dicyclomine,Dicyklomín,Antimuscarinics,antimuscarinic,Antimuscarinic reduces GI smooth muscle spasm.,IBS with cramping; GI spasm.,Infants; ileus; myasthenia gravis; glaucoma; urinary retention.,Dry mouth; dizziness; blurred vision.,Delirium; urinary retention.,Additive anticholinergic effects.,caution/avoid,PO,~1–2 h,~4–6 h,Avoid in infants; anticholinergic toxicity risk.
ans_025,drug_class,Adrenergic agonists (sympathomimetics),Adrenergné agonisty (sympatomimetiká),Adrenergic agonists,overview,"Stimulate adrenergic receptors (α/β) directly or increase synaptic catecholamines indirectly, producing vasoconstriction, bronchodilation, and/or cardiac stimulation.",Anaphylaxis; shock; cardiac arrest; bradycardia; asthma/COPD; nasal congestion; hypotension; preterm labor (selected).,Severe tachyarrhythmias; uncontrolled hypertension; ischemic heart disease (caution); hyperthyroidism (caution).,Tremor; palpitations; anxiety; headache.,Arrhythmias; myocardial ischemia; severe hypertension; stroke.,MAO inhibitors/TCAs increase effects; beta blockers can cause unopposed α (nonselective); additive QT/arrhythmia risk with other sympathomimetics.,caution/agent-dependent,IV; IM; SC; inhalation; intranasal; ophthalmic; PO,seconds to minutes (parenteral),minutes to hours (agent-dependent),Know receptor profiles: α1 vasoconstriction; β1 cardiac; β2 bronchodilation/tocolysis; α2 central sympatholysis (sometimes taught separately).
ans_026,drug,Epinephrine,Adrenalín,Adrenergic agonists,adrenergic agonist,Nonselective α1/α2/β1/β2 agonist; dose-dependent β then α effects.,Anaphylaxis (IM); cardiac arrest; severe asthma; vasopressor support (selected).,"No absolute CI in anaphylaxis; otherwise: severe arrhythmias, uncontrolled hypertension (caution).",Tremor; palpitations; anxiety; headache.,Arrhythmias; myocardial ischemia; pulmonary edema (rare).,MAOIs/TCAs potentiate; nonselective beta blockers increase hypertension risk; avoid mixing with certain anesthetics (arrhythmia risk).,caution/benefit>risk,IM; IV; SC; inhalation,minutes (IM); immediate (IV),~5–10 min (IV bolus); longer with infusion,First-line for anaphylaxis: IM thigh.
ans_027,drug,Norepinephrine,Noradrenalín,Adrenergic agonists,adrenergic agonist,"α1/α2 strong, β1 moderate agonist; potent vasoconstrictor.",Septic/vasodilatory shock; severe hypotension.,Mesenteric/peripheral ischemia (caution); hypovolemia not corrected (relative).,Tachycardia (less than dopamine); headache; extravasation injury.,Arrhythmias; ischemia/necrosis with extravasation.,MAOIs/TCAs potentiate; avoid with ergot alkaloids; requires central line ideally.,caution,IV infusion,immediate,minutes after stop,Use with adequate volume; monitor perfusion.
ans_028,drug,Dopamine,Dopamín,Adrenergic agonists,adrenergic agonist,Dose-dependent: D1 (renal) -> β1 -> α1 at higher doses.,Shock with bradycardia (selected); HF with hypotension (selected).,Pheochromocytoma; tachyarrhythmias; ventricular fibrillation.,Nausea; palpitations; headache.,Arrhythmias; ischemia; extravasation necrosis.,MAOIs increase effects; halogenated anesthetics increase arrhythmia risk.,caution,IV infusion,immediate,minutes,Use has decreased vs norepinephrine in many protocols.
ans_029,drug,Dobutamine,Dobutamín,Adrenergic agonists,adrenergic agonist,Predominantly β1 agonist (some β2/α1); increases inotropy more than HR.,Acute decompensated HF/cardiogenic shock (inotrope); stress echocardiography.,Hypertrophic obstructive cardiomyopathy; tachyarrhythmias.,Palpitations; tremor; headache.,Arrhythmias; ischemia.,Additive arrhythmias with other sympathomimetics; beta blockers blunt effect.,caution,IV infusion,immediate,minutes,Improves cardiac output; may lower SVR slightly.
ans_030,drug,Isoproterenol,Izoprenalín,Adrenergic agonists,adrenergic agonist,Nonselective β1/β2 agonist; strong chronotrope/inotrope; vasodilates.,Bradyarrhythmias/AV block (temporary support).,Tachyarrhythmias; ischemic heart disease.,Tremor; palpitations.,Arrhythmias; myocardial ischemia.,MAOIs/TCAs potentiate; additive arrhythmia risk.,caution,IV,immediate,minutes,Can cause hypotension due to β2 vasodilation.
ans_031,drug,Phenylephrine,Fenylefrín,Adrenergic agonists,adrenergic agonist,Selective α1 agonist causes vasoconstriction.,"Hypotension (e.g., anesthesia); nasal congestion (topical); mydriasis (ophthalmic).",Severe hypertension; ventricular tachycardia; narrow-angle glaucoma (topical caution).,Reflex bradycardia; headache; anxiety.,Severe hypertension; ischemia.,MAOIs/TCAs potentiate; avoid with other vasoconstrictors.,caution,IV; intranasal; ophthalmic,minutes (IV),~15–20 min (IV bolus),Good when tachyarrhythmia present (less β1).
ans_032,drug,Midodrine,Midodrín,Adrenergic agonists,adrenergic agonist,Prodrug to α1 agonist; increases peripheral vascular resistance.,Orthostatic hypotension.,Severe organic heart disease; acute renal disease; urinary retention; supine hypertension.,Piloerection; pruritus; paresthesias; urinary retention.,Severe supine hypertension; bradycardia (rare).,Additive hypertension with other pressors; caution with beta blockers (bradycardia).,caution,PO,~30–60 min,~2–4 h,Avoid dosing near bedtime to reduce supine HTN.
ans_033,drug,Oxymetazoline,Oxymetazolín,Adrenergic agonists,adrenergic agonist,Topical α agonist causes nasal mucosal vasoconstriction.,Nasal congestion (short-term).,Severe hypertension (caution); use >3 days (rhinitis medicamentosa).,Local irritation; dryness.,Rebound congestion with overuse; hypertension (rare systemic).,MAOIs may increase BP response.,caution,intranasal,minutes,hours,Limit to 3 days to avoid rebound.
ans_034,drug,Pseudoephedrine,Pseudoefedrín,Adrenergic agonists,adrenergic agonist,Indirect/weak direct sympathomimetic; decongestant.,Nasal congestion.,Severe hypertension; CAD; hyperthyroidism; glaucoma; BPH (caution).,Insomnia; nervousness; palpitations.,Arrhythmias; severe hypertension (rare).,MAOIs contraindicated; additive with other stimulants.,caution/avoid,PO,~30–60 min,~4–6 h,Abuse potential; restrictions in many countries.
ans_035,drug,Albuterol (Salbutamol),Salbutamol,Adrenergic agonists,adrenergic agonist,Selective β2 agonist bronchodilator.,Acute bronchospasm in asthma/COPD; hyperkalemia (adjunct).,Tachyarrhythmias (caution).,Tremor; tachycardia; palpitations.,Hypokalemia; arrhythmias (rare).,Nonselective beta blockers antagonize; additive hypokalemia with diuretics.,caution,inhalation,minutes,~3–6 h,SABA rescue inhaler.
ans_036,drug,Terbutaline,Terbutalín,Adrenergic agonists,adrenergic agonist,β2 agonist bronchodilator; also uterine relaxation.,Asthma (selected); short-term tocolysis (selected).,Tachyarrhythmias; ischemic heart disease; hyperthyroidism (caution).,Tremor; tachycardia.,"Arrhythmias; pulmonary edema (tocolysis, rare).",Additive with other sympathomimetics; beta blockers antagonize.,caution,SC; inhalation,minutes,~3–6 h,Tocolysis use varies by guideline.
ans_037,drug,Salmeterol,Salmeterol,Adrenergic agonists,adrenergic agonist,Long-acting β2 agonist (LABA) bronchodilator.,COPD maintenance; asthma (only with inhaled corticosteroid).,Monotherapy in asthma (contraindicated).,Tremor; palpitations.,Asthma-related death if used without ICS; arrhythmias (rare).,Beta blockers antagonize; additive sympathomimetic effects.,caution,inhalation,~10–20 min,~12 h,LABA: always pair with ICS in asthma.
ans_038,drug,Formoterol,Formoterol,Adrenergic agonists,adrenergic agonist,LABA with relatively fast onset; bronchodilator.,COPD maintenance; asthma (with ICS).,LABA monotherapy in asthma.,Tremor; palpitations.,Arrhythmias; asthma risk without ICS.,Beta blockers antagonize; additive sympathomimetics.,caution,inhalation,~1–3 min,~12 h,Faster onset than salmeterol.
ans_039,drug,Mirabegron,Mirabegrón,Adrenergic agonists,adrenergic agonist,"β3 agonist relaxes detrusor muscle, increasing bladder capacity.",Overactive bladder (alternative to antimuscarinics).,Severe uncontrolled hypertension; bladder outlet obstruction (caution).,Hypertension; tachycardia; headache.,Urinary retention (rare); arrhythmias (rare).,"CYP2D6 inhibitor can increase levels of some drugs (e.g., metoprolol).",caution,PO,hours,~24 h,Useful when anticholinergic burden is a problem.
ans_040,drug_class,Sympatholytics,Sympatolytiká,Sympatholytics,overview,"Reduce sympathetic activity via α/β receptor antagonism, central α2 agonism, inhibition of catecholamine release, or synthesis blockade.",Hypertension; angina; arrhythmias; heart failure (selected beta blockers); BPH (α1 blockers); pheochromocytoma (α blockade).,Bradycardia/AV block; severe asthma (nonselective β blockers); cardiogenic shock (relative); severe hypotension.,Dizziness; fatigue; orthostatic hypotension; bradycardia (agent-dependent).,Severe bradycardia/heart block; bronchospasm; heart failure decompensation; severe hypotension; rebound hypertension (central agents).,Additive hypotension with other antihypertensives; β blockers with verapamil/diltiazem → AV block; central α2 agonists + CNS depressants.,caution/agent-dependent,PO; IV; ophthalmic,hours (PO); minutes (IV for some),hours to days,Split into: α blockers; β blockers; mixed α/β; central α2 agonists; others (rare).
ans_041,drug,Prazosin,Prazosín,Sympatholytics,alpha blocker,Selective α1 blocker → vasodilation; ↓afterload.,Hypertension (selected); nightmares in PTSD (off-label).,Hypotension; syncope risk.,First-dose orthostatic hypotension; dizziness; headache.,Syncope; severe hypotension.,Additive hypotension with PDE5 inhibitors and other antihypertensives.,caution,PO,hours,~6–10 h,Give first dose at bedtime to reduce syncope risk.
ans_042,drug,Doxazosin,Doxazosín,Sympatholytics,alpha blocker,Selective α1 blocker → vasodilation; relaxes prostate/bladder neck.,Hypertension (selected); BPH.,Hypotension; syncope risk.,Dizziness; orthostatic hypotension; fatigue.,Syncope (rare).,Additive hypotension with PDE5 inhibitors.,caution,PO,hours,~24 h (ER),Useful when HTN + BPH.
ans_043,drug,Terazosin,Terazosín,Sympatholytics,alpha blocker,Selective α1 blocker for HTN/BPH.,BPH; hypertension (selected).,Hypotension.,Orthostatic hypotension; dizziness.,Syncope (rare).,Additive hypotension with PDE5 inhibitors.,caution,PO,hours,~12–24 h,Titrate slowly.
ans_044,drug,Tamsulosin,Tamsulozín,Sympatholytics,alpha blocker,Selective α1A blocker (prostate) improves urinary flow.,BPH.,Severe hypotension (rare).,Dizziness; ejaculatory dysfunction.,Intraoperative floppy iris syndrome (IFIS) in cataract surgery.,CYP3A4 inhibitors increase levels; additive hypotension with other agents.,caution,PO,hours,~24 h,"More uroselective, less BP effect."
ans_045,drug,Phenoxybenzamine,Fenoxybenzamín,Sympatholytics,alpha blocker,Irreversible nonselective α blocker.,Pheochromocytoma (preop); catecholamine crises.,Shock; coronary insufficiency (caution).,Orthostatic hypotension; nasal congestion; reflex tachycardia.,Severe hypotension; arrhythmias (rare).,Additive hypotension; use beta blocker only after adequate alpha blockade.,caution,PO,hours,days,Always block α before β in pheochromocytoma to avoid hypertensive crisis.
ans_046,drug,Phentolamine,Fentolamín,Sympatholytics,alpha blocker,Reversible nonselective α blocker; rapid onset.,Catecholamine-induced hypertensive emergencies; extravasation of vasopressors (local).,Hypotension; CAD (caution).,Tachycardia; flushing.,Severe hypotension; arrhythmias.,Additive hypotension; caution with beta blockers.,caution,IV; local infiltration,minutes,minutes to hours,Used for NE extravasation (local infiltration).
ans_047,drug,Propranolol,Propranolol,Sympatholytics,beta blocker,Nonselective β1/β2 blocker; ↓HR/contractility; ↓renin.,Hypertension; angina; essential tremor; migraine prophylaxis; thyrotoxicosis symptoms.,Asthma/COPD; bradycardia; AV block; decompensated HF.,Fatigue; cold extremities; sleep disturbances.,Bronchospasm; severe bradycardia/AV block.,Additive AV block with verapamil/diltiazem; masks hypoglycemia with insulin; avoid abrupt withdrawal.,caution,PO; IV,hours (PO); minutes (IV),~6–12 h,"Lipophilic, more CNS effects."
ans_048,drug,Metoprolol,Metoprolol,Sympatholytics,beta blocker,Selective β1 blocker (dose-dependent).,Hypertension; angina; HFrEF (succinate); rate control.,Bradycardia; AV block; severe asthma (relative).,Fatigue; dizziness.,Severe bradycardia; AV block; HF worsening.,CYP2D6 inhibitors increase levels; additive AV block with verapamil/diltiazem.,caution,PO; IV,hours (PO); minutes (IV),hours,β1 selectivity decreases bronchospasm risk (not zero).
ans_049,drug,Bisoprolol,Bisoprolol,Sympatholytics,beta blocker,Selective β1 blocker.,Hypertension; HFrEF; angina.,Bradycardia; AV block.,Fatigue; dizziness.,Severe bradycardia; AV block.,Additive AV block with verapamil/diltiazem; avoid abrupt withdrawal.,caution,PO,hours,~24 h,Common in HF therapy.
ans_050,drug,Atenolol,Atenolol,Sympatholytics,beta blocker,Selective β1 blocker; more hydrophilic.,Hypertension; angina.,Bradycardia; AV block.,Fatigue; cold extremities.,Bradycardia; HF worsening.,Additive AV block with verapamil/diltiazem.,avoid/caution,PO; IV,hours,~24 h,Less CNS penetration; some prefer alternatives in pregnancy.
ans_051,drug,Nebivolol,Nebivolol,Sympatholytics,beta blocker,β1 blocker with NO-mediated vasodilation.,Hypertension (selected).,Bradycardia; AV block.,Fatigue; headache.,Bradycardia; HF worsening (rare).,Additive AV block with verapamil/diltiazem.,caution,PO,hours,~24 h,Vasodilatory properties via NO.
ans_052,drug,Carvedilol,Karvedilol,Sympatholytics,beta blocker,Nonselective β blocker + α1 blocker.,HFrEF; hypertension; post-MI.,Asthma/COPD; bradycardia; AV block.,Dizziness; fatigue; hypotension.,Bradycardia; HF worsening; bronchospasm.,Additive hypotension with other antihypertensives; AV block with non-DHP CCBs.,caution,PO,hours,hours,Mortality benefit in HFrEF.
ans_053,drug,Labetalol,Labetalol,Sympatholytics,beta blocker,β blocker + α1 blocker; lowers BP without major HR increase.,Hypertension (including pregnancy); hypertensive emergencies (IV).,Asthma/COPD; bradycardia; AV block.,Dizziness; nausea; fatigue.,Bronchospasm; severe bradycardia.,Additive hypotension; AV block with non-DHP CCBs.,often acceptable/used,PO; IV,minutes (IV),hours,Common in pregnancy-related hypertension.
ans_054,drug,Esmolol,Esmolol,Sympatholytics,beta blocker,Ultra–short acting β1 blocker (esterase metabolism).,Acute SVT; perioperative tachycardia/hypertension.,Bradycardia; AV block; decompensated HF.,Hypotension.,Severe bradycardia/AV block.,Additive AV block with non-DHP CCBs.,caution,IV infusion,immediate,~10–20 min,Good when you want rapid on/off.
ans_055,drug,Timolol,Timolol,Sympatholytics,beta blocker,Nonselective β blocker (often ophthalmic).,Glaucoma (topical); migraine prophylaxis (rare).,Asthma/COPD; bradycardia; AV block.,Eye irritation; fatigue (systemic absorption).,Bronchospasm; bradycardia (systemic).,Additive with other β blockers; caution with verapamil/diltiazem.,caution,ophthalmic,minutes,hours,Topical can still cause systemic β blockade.
ans_056,drug,Sotalol,Sotalol,Sympatholytics,beta blocker,Nonselective β blocker + class III antiarrhythmic effects.,Ventricular and supraventricular arrhythmias.,QT prolongation; severe renal impairment (dose adjust).,Bradycardia; fatigue.,Torsades de pointes; severe bradycardia.,Additive QT prolongation with other QT-prolonging drugs; electrolyte disturbances increase risk.,caution,PO; IV,hours,hours,"Monitor QT, renal function, electrolytes."
ans_057,drug,Clonidine,Klonidín,Sympatholytics,central alpha-2 agonist,Central α2 agonist decreases sympathetic outflow → ↓BP; also reduces withdrawal symptoms.,Hypertension (selected); opioid/nicotine withdrawal adjunct; ADHD (selected).,Severe bradycardia; hypotension.,Sedation; dry mouth; constipation.,Rebound hypertension if stopped abruptly.,Additive CNS depression; beta blockers increase rebound risk if clonidine stopped first (taper).,caution,PO; transdermal,hours,~12–24 h (PO); ~7 days (patch),Taper to avoid rebound.
