Please fill all fields.;Please fill all fields.;Bitte füllen Sie alle Felder aus.;Vyplňte všetky polia.;Por favor, rellene todos los campos.;Vennligst fyll ut alle feltene.;Vinsamlegast fylltu út öll svæði.
Passwords do not match.;Passwords do not match.;Passwörter stimmen nicht überein.;Heslá sa nezhodujú.;Las contraseñas no coinciden.;Passordene stemmer ikke overens.;Lykilorðin stemma ekki.
Username already exists.;Username already exists.;Benutzername existiert bereits.;Používateľ už existuje.;El nombre de usuario ya existe.;Brukernavn finnes allerede.;Notandanafn er þegar til.
Registration successful! You can now log in.;Registration successful! You can now log in.;Registrierung erfolgreich! Sie können sich jetzt anmelden.;Registrácia bola úspešná! Môžete sa prihlásiť.;¡Registro exitoso! Ahora puede iniciar sesión.;Registreringen var vellykket! Du kan nå logge inn.;Skráning tókst! Þú getur nú skráð þig inn.
welcome;Welcome;Willkommen;Vitajte;Bienvenido;Velkommen;Velkomin
search_term;Search Tool;Suchwerkzeug;Vyhľadávať pojem;Buscar término;Søk etter begrep;Leita eftir hugtaki
add_term;Add New Term;Neuen Begriff hinzufügen;Pridať nový pojem;Añadir nuevo término;Legg til nytt begrep;Bæta við nýju hugtaki
quiz;Quiz;Quiz;Kvíz;Cuestionario;Quiz;Próf
back_lng;Back to Language selection;Zurück zur Sprachauswahl;Späť na výber jazyka;Volver a selección de idioma;Tilbake til språkutvalg;Til baka að tungumálaval
enter_term;Enter term;Begriff eingeben;Zadajte pojem;Introduzca el término;Skriv inn begrep;Sláðu inn hugtak
search;Search;Suchen;Hľadať;Buscar;Søk;Leita
back;Back;Zurück;Späť;Volver al menú;Tilbake til meny;Til baka í valmynd
back to search;Back to Search;Zurück zur Suche;Späť na vyhľadávanie;Volver a la búsqueda;Tilbake til søk;Til baka í leit
Save Term;Save Term;Begriff speichern;Uložiť pojem;Guardar término;Lagre begrep;Vista hugtak
Please enter a search term.;Please enter a search term.;Bitte geben Sie einen Suchbegriff ein.;Zadajte hľadaný pojem.;Por favor, introduzca un término de búsqueda.;Skriv inn et søkebegrep.;Sláðu inn hugtak til að leita.
Search failed.;Search failed.;Suche fehlgeschlagen.;Hľadanie zlyhalo.;Búsqueda fallida.;Søk mislyktes.;Leit mistókst.
No matching results found.;No matching results found.;Keine passenden Ergebnisse gefunden.;Nenašli sa žiadne zodpovedajúce výsledky.;No se encontraron resultados coincidentes.;Ingen treff funnet.;Engar niðurstöður fundust.
Term saved successfully!;Term saved successfully!;Begriff erfolgreich gespeichert!;Pojem bol úspešne uložený!;¡Término guardado con éxito!;Begrepet ble lagret!;Hugtak var vistað!
Please enter at least one field before saving.;Please enter at least one field before saving.;Bitte geben Sie mindestens ein Feld ein, bevor Sie speichern.;Zadajte aspoň jedno pole pred uložením.;Por favor, introduzca al menos un campo antes de guardar.;Skriv inn minst ett felt før lagring.;Sláðu inn að minnsta kosti eitt svæði áður en vistað er.
Review data cleared.;Review data cleared.;Überprüfungsdaten gelöscht.;Údaje boli vymazané.;Datos de revisión borrados.;Gjennomgangslekt ble slettet.;Endurskoðun eydd.
Quiz Settings;Quiz Settings;Quiz-Einstellungen;Nastavenia kvízu;Configuración del cuestionario;Innstillinger for quiz;Stillingar prófs
Review Mistakes;Review Mistakes;Fehler überprüfen;Skontrolovať chyby;Revisar errores;Gjennomgå feil;Skoða villur
Start Review Quiz;Start Review Quiz;Überprüfungsquiz starten;Spustiť opravný kvíz;Iniciar revisión;Start gjennomgang;Byrja endurtekningu
Clear Review;Clear Review;Überprüfung löschen;Vymazať chyby;Borrar revisión;Tøm gjennomgang;Hreinsa endurskoðun
Confirm Delete;Confirm Delete;Löschen bestätigen;Potvrdiť vymazanie;Confirmar eliminación;Bekreft sletting;Staðfesta eyðingu
All content of the wrong answers will be lost. Do you want to delete?;All content of the wrong answers will be lost. Do you want to delete?;Alle falschen Antworten gehen verloren. Möchten Sie löschen?;Všetky nesprávne odpovede budú stratené. Chcete vymazať?;Todo el contenido de las respuestas incorrectas se perderá. ¿Desea borrar?;Alt innhold i feil svar vil gå tapt. Vil du slette?;Allt efni úr röngum svörum verður eytt. Viltu halda áfram?
OK;OK;OK;OK;OK;OK;OK
Cancel;Cancel;Abbrechen;Zrušiť;Cancelar;Avbryt;Hætta við
Type of quiz;Type of quiz;Quiztyp;Typ kvízu;Tipo de cuestionario;Quiz-type;Tegund prófs
Select 1st column;Select 1st column;1. Spalte auswählen;Vyberte 1. stĺpec;Seleccionar primera columna;Velg første kolonne;Veldu 1. dálk
Select 2nd column;Select 2nd column;2. Spalte auswählen;Vyberte 2. stĺpec;Seleccionar segunda columna;Velg andre kolonne;Veldu 2. dálk
Select fields to show;Select fields to show;Felder zum Anzeigen auswählen;Vyberte polia na zobrazenie;Seleccionar campos para mostrar;Velg felt å vise;Veldu reiti til að sýna
source_words;Source Words;Ausgangswörter;Východiskové slová;Palabras fuente;Kildeord;Orð úr upprunamáli
target_words;Target Words;Zielwörter;Cieľové slová;Palabras destino;Målord;Orð úr markmáli
start_quiz;Start Quiz;Quiz starten;Spustiť kvíz;Iniciar cuestionario;Start quiz;Byrja próf
translate_word;Translate;Übersetzen;Prelož;Traducir;Oversett;Þýða
select_languages_warning;Please select both source and target languages.;Bitte wählen Sie sowohl Ausgangs- als auch Zielsprache aus.;Vyberte oba jazyky.;Seleccione ambos idiomas, por favor.;Velg begge språkene.;Veldu bæði tungumálin.
reset_quiz;Reset Quiz;Quiz zurücksetzen;Spustiť kvíz znovu;Reiniciar cuestionario;Tilbakestill quiz;Endursetja próf
score;Score;Punktzahl;Skóre;Puntuación;Poengsum;Stig
incorrect;Incorrect;Falsch;Nesprávne;Incorrecto;Feil;Rangt
correct;Correct;Richtig;Správne;Correcto;Riktig;Rétt
wrong;Wrong;Falsch;Zle;Equivocado;Galt;Rangt svar
source_language;Source Language;Ausgangssprache;Primárny jazyk;Idioma de origen;Kildespråk;Upprunamál
target_language;Target Language;Zielsprache;Sekundárny jazyk;Idioma de destino;Målspråk;Markmál
english;English;Englisch;Angličtina;Inglés;Engelsk;Enska
slovak;Slovak;Slowakisch;Slovenčina;Eslovaco;Slovakisk;Slóvakíska
latin;Latin;Latein;Latinčina;Latín;Latinsk;Latína
german;German;Deutsch;Nemčina;Alemán;Tysk;Þýska
spanish;Spanish;Spanisch;Španielčina;Español;Spansk;Spænska
norwegian;Norwegian;Norwegisch;Nórčina;Noruego;Norsk;Norska
icelandic;Icelandic;Isländisch;Islandčina;Islandés;Islandsk;Íslenska
reset_before_language_change;Reset quiz before changing languages.;Quiz zurücksetzen, bevor Sie die Sprache ändern.;Reštartujte kvíz pred zmenou jazykov.;Reinicie el cuestionario antes de cambiar de idioma.;Tilbakestill før språkbytte.;Endurstilltu prófið áður en þú breytir tungumáli.
quiz_already_started;Quiz already started. Press Reset to start again.;Quiz bereits gestartet. Drücken Sie Zurücksetzen.;Kvíz už prebieha. Stlačte reset.;El cuestionario ya comenzó. Pulse Reiniciar.;Quiz har allerede startet. Trykk Tilbakestill.;Próf hefur þegar hafist. Ýttu á Endursetja.
source_set;Source language set to: ;Ausgangssprache gesetzt auf: ;Primárny jazyk nastavený na: ;Idioma de origen establecido en: ;Kildespråk satt til: ;Upprunamál stillt á: 
target_set;Target language set to: ;Zielsprache gesetzt auf: ;Sekundárny jazyk nastavený na: ;Idioma de destino establecido en: ;Målspråk satt til: ;Markmál stillt á: 
latin_translation;Latin Translation;Lateinische Übersetzung;Latinský preklad;Traducción al latín;Latinsk oversettelse;Þýðing á latínu
genitive;Genitive;Genitiv;Genitív;Genitivo;Genitiv;Eignarfall
accusative;Accusative;Akkusativ;Akuzatív;Acusativo;Akkusativ;Þolfall
gender;Gender;Geschlecht;Rod;Género;Kjønn;Kyn
declination;Declination;Deklination;Deklinácia;Declinación;Deklinasjon;Beyging
english_translation;English Translation;Englische Übersetzung;Anglický preklad;Traducción al inglés;Engelsk oversettelse;Þýðing á ensku
english_definition;English Definition;Englische Definition;Anglická definícia;Definición en inglés;Engelsk definisjon;Skilgreining á ensku
german_translation;German Translation;Deutsche Übersetzung;Nemecký preklad;Traducción al alemán;Tysk oversettelse;Þýska þýðing
german_definition;German Definition;Deutsche Definition;Nemecká definícia;Definición en alemán;Tysk definisjon;Skilgreining á þýsku
slovak_translation;Slovak Translation;Slowakische Übersetzung;Slovenský preklad;Traducción al eslovaco;Slovakisk oversettelse;Slóvakísk þýðing
slovak_definition;Slovak Definition;Slowakische Definition;Slovenská definícia;Definición en eslovaco;Slovakisk definisjon;Skilgreining á slóvakísku
spanish_translation;Spanish Translation;Spanische Übersetzung;Španielsky preklad;Traducción al español;Spansk oversettelse;Spænsk þýðing
spanish_definition;Spanish Definition;Spanische Definition;Španielska definícia;Definición en español;Spansk definisjon;Skilgreining á spænsku
norwegian_translation;Norwegian Translation;Norwegische Übersetzung;Nórsky preklad;Traducción al noruego;Norsk oversettelse;Norsk þýðing
norwegian_definition;Norwegian Definition;Norwegische Definition;Nórska definícia;Definición en noruego;Norsk definisjon;Skilgreining á norsku
icelandic_translation;Icelandic Translation;Isländische Übersetzung;Islandský preklad;Traducción al islandés;Islandsk oversettelse;Íslensk þýðing
icelandic_definition;Icelandic Definition;Isländische Definition;Islandská definícia;Definición en islandés;Islandsk definisjon;Skilgreining á íslensku
2nd_definition;Second Definition;Zweite Definition;Druhá definícia;Segunda definición;Andre definisjon;Önnur skilgreining
Word combinations;Word combinations;Wortkombinationen;Kombinácie slov;Combinaciones de palabras;Ord kombinasjoner;Orðasambönd
Words and definitions;Words and definitions;Wörter und Definitionen;Slová a definície;Palabras y definiciones;Ord og definisjoner;Orð og skilgreiningar
Great job in {app_name}!;Great job in {app_name}!;Great job in {app_name}!;Great job in {app_name}!;¡Buen trabajo en {app_name}!;Flott jobb i {app_name}!;Frábær vinna í {app_name}!
positive_feedback_1;Great job {app_name}!;Großartige Arbeit {app_name}!;Skvelá práca {app_name}!;¡Gran trabajo {app_name}!;Flott jobb {app_name}!;Góð vinna {app_name}!
positive_feedback_2;Well done! Keep going {app_name}!;Gut gemacht! Weiter so {app_name}!;Výborne! Pokračuj ďalej {app_name}!;¡Sigue así {app_name}!;Bra jobbet! Fortsett sånn {app_name}!;Frábært! Haltu áfram {app_name}!
positive_feedback_3;Excellent {app_name}! Be proud of youself!;Ausgezeichnet {app_name}! Sei stolz auf dich!;Vynikajúce {app_name}!;¡Excelente, {app_name}!;Utmerket {app_name}!;Framúrskarandi {app_name}!
positive_feedback_4;You are mastering this {app_name}!;Du meisterst das {app_name}!;Ovládaš to dokonale {app_name}!;¡Lo estás dominando, {app_name}!;Du mestrer dette {app_name}!;Þú stendur þig vel {app_name}!
positive_feedback_5;Fantastic job {app_name}! Applauds for your effort!;Fantastische Arbeit {app_name}! Applaus für deinen Einsatz!;Fantastické {app_name}. Zaslúžiš si potlest za snahu!;¡Fantástico esfuerzo, {app_name}!;Fantastisk innsats {app_name}!;Glæsilegt {app_name}! Þú átt hrós skilið!
1st_column;Source;Quelle;Zdroj;Fuente;Kilde;Uppruni
correct_answer_word;Correct Word;Richtiges Wort;Správne slovo;Palabra correcta;Riktig ord;Rétt orð
wrong_answer_word;Your Word;Ihr Wort;Vaše slovo;Tu palabra;Ditt ord;Þitt orð
correct_answer_definition;Correct Definition;Richtige Definition;Správna definícia;Definición correcta;Riktig definisjon;Rétt skilgreining
wrong_answer_definition;Your Definition;Ihre Definition;Vaša definícia;Tu definición;Din definisjon;Þín skilgreining
remove;Remove;Entfernen;Odstrániť;Eliminar;Fjern;Fjarlægja
muscle_search_placeholder;Search muscle name (min 2 chars);Search muscle name (min 2 chars);Search muscle name (min 2 chars);Search muscle name (min 2 chars);Search muscle name (min 2 chars);Search muscle name (min 2 chars)
muscle_search_any;Any;Alle;?ubovo?n?;Any;Any;Any
muscle_search_region;Region;Region;Oblas?;Region;Region;Region
muscle_search_category;Category;Kategorie;Kateg?ria;Category;Category;Category
muscle_search_english_name;English name;Englischer Name;Anglick? n?zov;English name;English name;English name
muscle_search_latin_name;Latin name;Lateinischer Name;Latinsk? n?zov;Latin name;Latin name;Latin name
muscle_search_insercio;Insercio;Ansatz;Insercio;Insercio;Insercio;Insercio
muscle_search_origo;Origo;Ursprung;Origo;Origo;Origo;Origo
muscle_search_blood_supply;Blood supply;Blutversorgung;Krvn? z?sobenie;Blood supply;Blood supply;Blood supply
muscle_search_innervation;Innervation;Innervation;Inerv?cia;Innervation;Innervation;Innervation
email_or_username;Email or username;Email or username;Email or username;;;
forgot_password_title;Forgot password;Passwort vergessen;Zabudnuté heslo;;;
forgot_password_desc;Enter your email to receive a reset link.;Geben Sie Ihre E-Mail ein, um einen Link zum Zurücksetzen zu erhalten.;Zadajte svoj e-mail na zaslanie odkazu na obnovenie.;;;
forgot_password_email_placeholder;Email;E-Mail;E-mail;;;
forgot_password_send;Send;Senden;Odoslať;;;
forgot_password_cancel;Cancel;Zrušiť;Zrušiť;;;
forgot_password_email_required;Email is required.;E-Mail ist erforderlich.;E-mail je povinný.;;;
forgot_password_sending;Sending reset email...;Sende Reset-E-Mail...;Odosielam e-mail na obnovu...;;;
forgot_password_failed;Reset failed: ;Zurücksetzen fehlgeschlagen: ;Obnova zlyhala: ;;;
forgot_password_sent_msg;An automated password reset was delivered to your email. Please check also the spam folder in your email account. If there is any problem, contact me at medicaldictionaryjlf@gmail.com;Eine automatische Passwortzurücksetzung wurde an Ihre E-Mail gesendet. Bitte prüfen Sie auch den Spam-Ordner. Bei Problemen kontaktieren Sie mich unter medicaldictionaryjlf@gmail.com;Automatická obnova hesla bola odoslaná na váš e-mail. Skontrolujte prosím aj spamový priečinok. V prípade problému ma kontaktujte na medicaldictionaryjlf@gmail.com;;;
continue_without_account;Continue without account;Weiter ohne Konto;Pokračovať bez konta;;;
guest_title;Continue without account?;Ohne Konto fortfahren?;Pokračovať bez konta;;;
guest_desc;Your progress won't be saved. To save your progress, login or register your account.;Ihr Fortschritt wird nicht gespeichert. Um ihn zu speichern, melden Sie sich an oder registrieren Sie ein Konto.;Váš postup nebude uložený. Ak chcete ukladať svoj postup, prihláste sa alebo si vytvorte účet.;;;
continue;Continue;Weiter;Pokračovať;;;;
settings_language;Language;Sprache;Jazyk;;;;
settings_text_size;Text Size;Textgröße;Veľkosť textu;;;;
text_size_small;Small;Klein;Malý;;;;
text_size_large;Large;Groß;Veľký;;;;
muscle_training;Muscle Training;Muskeltraining;Precvičovanie svalov;;;;
anamnesis;Anamnesis;Anamnese;Anamnéza;;;;
muscle_search_title;Muscle Search;Muskel Suche;Vyhľadávanie svalov;;;;
muscle_quiz_title;Muscle Quiz;Muskel Quiz;Svalový kvíz;;;;
search_muscle_text; Search muscle name (min 2 chars); Suchmuskelname suchen (min 2 Zeichen); Vyhľadajte názov svalu (min 2 znaky);;;;
start;Start Muscle Quiz;Muskelquiz starten;Spustiť svalový kvíz;;;;
muscle_search_any;Any;Alle;Ľubovoľné;;;
muscle_search_region;Region;Region;Oblasť;;;
muscle_search_category;Category;Kategorie;Kategória;;;
muscle_search_english_name;English name;Englischer Name;Anglický názov;;;
muscle_search_latin_name;Latin name;Lateinischer Name;Latinský názov;;;
muscle_search_origo;Origo;Ursprung;Origo;;;
muscle_search_insercio;Insercio;Ansatz;Insercio;;;
muscle_search_blood_supply;Blood supply;Blutversorgung;Krvné zásobenie;;;
muscle_search_innervation;Innervation;Innervation;Inervácia;;;
muscle_quiz_select_region;Select a region and at least one group with data.;ählen Sie eine Region und mindestens eine Gruppe mit Daten.;Vyberte oblasť a aspoň jednu skupinu s údajmi.;;;
muscle_search_type_of_movement;Type of movement;Bewegungsart;Typ pohybu;;;
muscle_type_of_movement;Type of movement;Bewegungsart;Typ pohybu;;;
reveal;Reveal;Zobraziť;Zobraziť;;;
next;Next;Weiter;Ďalej;;;
