id,statement_en,statement_sk,true_or_false,reasoning_en,reasoning_sk
id_0055,arithmetic mean (average ) is the most accurate value of each quantity,,FALSE,Incorrect as stated because the mean is not universally the 'most accurate' value; accuracy depends on bias/systematic error and the distribution/outliers.,
id_0056,arithmetic mean (average ) is the most probable value for Gauss normal distribution,,TRUE,,
id_0057,arithmetic mean (average ) never equals to the most frequently measured value,,FALSE,"Incorrect as stated because in symmetric unimodal distributions (including normal), the mean can equal the most frequent value (the mode).",
id_0058,arithmetic mean (average ) may equal to the most frequently measured value,,TRUE,,
id_0059,arithmetic mean (average ) is practicaly identical with median in the data of the normal Gauss distribution,,TRUE,,
id_0060,arithmetic mean (average ) cannot equal to median,,FALSE,"Incorrect as stated because the mean can equal the median (e.g., in symmetric distributions or some datasets).",
id_0061,arithmetic mean (average ) cannot equal to modus (mod),,FALSE,"Incorrect as stated because the mean can equal the mode in some datasets/distributions (e.g., normal distribution).",
id_0062,modus (mod) may equal to median,,TRUE,,
id_0063,modus (mod) never equ als to medi an,,FALSE,"Incorrect as stated because the mode can equal the median in many datasets (e.g., when values are symmetric or repeated centrally).",
id_0064,"modus (mod) is the „middle“ value (at least half of the values is more or equal to modus and, at the same time , at least half of the values is less or equal to modus)",,FALSE,"Incorrect as stated because the 'middle value' property describes the median, whereas the mode is the most frequent value.",
id_0065,median is the most frequent value,,FALSE,"Incorrect as stated because the median is the middle value after sorting, not necessarily the most frequent value.",
id_0066,"in the data set : 2, 2, 3, 2, 3 – the modus (mod) is 2",,TRUE,,
id_0067,"in the data set : 2, 2, 3, 2, 2 – the modus (mod) is 3",,FALSE,"Incorrect as stated because the dataset 2,2,3,2,2 has 2 as the most frequent value (mode), not 3.",
id_0068,modus (mod) is the most frequent value in the data set,,TRUE,,
id_0069,"in the data set : 2, 2, 3, 3, 2 – the medi an is 2",,TRUE,,
id_0070,"median is the „middle“ value (at least half of the values is more or equal to median and , at the same time , at least half of the values is less or equal to median)",,TRUE,,
id_0071,the calibration means to adjust the zero on the device,,FALSE,"Incorrect as stated because calibration sets the measurement scale/relationship to standards (zero and slope); merely adjusting zero is only taring/zeroing, not full calibration.",
id_0072,biosign als are all signals produced by organs and tissues within the body,,TRUE,,
id_0073,nerve impulses do not represent the biosign al,,FALSE,Incorrect as stated because nerve impulses (action potentials) are classic biosignals measurable as electrical activity.,
id_0074,nerve impulses represent the biosignal,,TRUE,,
id_0075,electromyographic signal do es not represent the biosign al,,FALSE,"Incorrect as stated because electromyography (EMG) records muscle electrical activity, which is abiosignal.",
id_0076,electromyographic signal represent sthe biosignal,,TRUE,,
id_0077,the mass of myocardium represents the biosignal,,FALSE,"Incorrect as stated because abiosignal is ameasurable variable that carries information and typically varies with time; tissue mass is astatic parameter, not asignal.",
id_0078,signal is aform of matter carrying the inform ation,,TRUE,,
id_0079,signal is aform of matter without the information,,FALSE,Incorrect as stated because asignal is defined by its capacity to convey information via aphysical quantity; 'without information' contradicts the concept of asignal.,
id_0080,electric current never represent sany signal,,FALSE,"Incorrect as stated because variations in electric current can encode information and are widely used as signals (e.g., ECG/EEG instrumentation).",
id_0081,electric current can represent the signal,,TRUE,,
id_0082,pressure never represent sany signal,,FALSE,"Incorrect as stated because pressure can encode information and be asignal (e.g., arterial blood pressure waveform).",
id_0083,pressure can represent the signal,,TRUE,,
id_0084,non-electric signal is transformed into the electrical one by transducers in order to process them using electrical equipment,,TRUE,,
id_0085,atransducer may employ the changes of electrical resistance,,TRUE,,
id_0086,atransducer never employ sthe changes of capacity,,FALSE,"Incorrect as stated because many transducers use capacitance changes (e.g., capacitive pressure/position sensors).",
id_0087,atransducer never employ sthe changes of electrical resistance,,FALSE,"Incorrect as stated because resistance-based transducers exist (e.g., strain gauges, thermistors), so they are not 'never' used.",
id_0088,atransducer may employ the changes of capacity,,TRUE,,
id_0089,the negative feedback is the information acquired by the system that „amplify“ the deflection (increases the input signal even more when the output incre ases),,FALSE,"Incorrect as stated because amplification of the deviation is the defining feature of positive feedback, not negative feedback.",
id_0090,the negative feedback is the information acquired by the system that „attenuates “ (reduces) the deflection (decreases the input signal when the output increases),,TRUE,,
id_0091,the positive feedback is the information acquired by the system that „amplify“ the deflec tion (increases the input signal even more when the output increases),,TRUE,,
id_0092,the positive feedback is the information acquired by the system that „attenuates“ (reduces) the deflection (decreases the input signal when the output increases),,FALSE,Incorrect as stated because attenuation of deviation is characteristic of negative feedback; positive feedback amplifies the deviation.,
id_0093,"the longer the period, the higher the frequency of periodic behavior",,FALSE,"Incorrect as stated because frequency is inversely proportional to period (f = 1/T), so alonger period means alower frequency.",
id_0094,"the longer the period , the lower the frequency of periodic behavior",,TRUE,,
id_0095,"the higher the amplitude ,the lower the frequency of periodic behavior",,FALSE,Incorrect as stated because amplitude and frequency are independent properties of aperiodic signal; one does not determine the other.,
id_0096,"the higher the amplitude, the higher the frequency of periodic behavior",,FALSE,Incorrect as stated because amplitude and frequency are independent properties of aperiodic signal; increasing amplitude does not inherently increase frequency.,
id_0097,"the higher the frequency, the shorter the period of periodic behavior",,TRUE,,
id_0098,"the lower the frequency, the longer the period of periodic behavior",,TRUE,,
id_0099,"the shorter the period , the higher the amplitude of periodic behavior",,FALSE,Incorrect as stated because amplitude is not determined by the period; ashorter period (higher frequency) does not imply higher amplitude.,
id_0100,"the longer the period , the lower the amplitude of periodic behavior",,FALSE,Incorrect as stated because amplitude is not determined by the period; alonger period does not imply alower amplitude.,
id_0101,"an amplifier is adevice that increases frequency of the electric voltage, electric current, or electric power",,FALSE,Incorrect as stated because an amplifier increases signal amplitude/power; it does not increase the signal frequency.,
id_0102,"if the period of signal on oscilloscope is 5 cm representing 50 ms, then the amplitude of this signal is 10 mV",,FALSE,Incorrect as stated because the period (time scale) on the oscilloscope does not determine amplitude; amplitude requires the vertical scale/voltage calibration.,
id_0103,"biosignals are being generated also by the interac tion of the organism with an external stimulus (e.g. with electromagnetic field , ioniz ing radiation , etc.)",,TRUE,,
id_0104,"acomparative method of measurement (e.g. the density using apycnometer ) is based on the measurement of given quantity on unknown sa mple and also on the sample , which characteristics (measured quantity) are known",,TRUE,,
id_0105,when we adjust zero equillibrium position of the balance (e.g. by setting it by pushing the „zero“ button) it is guaranteed that by balancing the object (e.g. by reading the mass from the display ) we get correct result,,FALSE,"Incorrect as stated because zeroing removes offset but does not correct scale errors, drift, nonlinearity, or poor calibration; results can still be wrong.",
id_0106,"using linear interpolation method, if 3 kg correspond to 6 ml and 4 kg corresponds to 8 ml, then 3.5 kg correspond to 7 ml",,TRUE,,
id_0107,it is easier to measure directly the amount of substance (in mole) than the mass,,FALSE,Incorrect as stated because amount of substance (mol) is typically obtained indirectly from mass/volume and molar mass; measuring mass directly is usually easier and more precise.,
id_0108,the accuracy of volume measurement is usually higher than the accuracy of weighing,,FALSE,"Incorrect as stated because weighing (mass measurement) is typically more accurate/precise than volume measurement for liquids, which is limited by meniscus and glassware tolerances.",
id_0109,an example of linear relationship : 3-fold input results in 3 -fold output,,TRUE,,
id_0110,an example of linear relationship : 3-fold input result sin constant output,,FALSE,Incorrect as stated because constant output despite changing input is not alinear relationship (it implies zero slope over that range).,
id_0111,an example of linear relation ship : 3-fold input results in 6-fold output,,FALSE,"Incorrect as stated because in alinear proportional relationship, scaling input by 3 scales output by 3; a 6-fold output froma 3-fold input implies achanging gain (non-proportional).",
id_0112,cell is abasic structural and functional component of living organisms,,TRUE,,
id_0113,cells can live without an interaction with the surroun dings,,FALSE,"Incorrect as stated because cells require continuous exchange with their environment (nutrients, gases, waste removal, signaling) to maintain homeostasis and survive.",
id_0114,cells cannot live without an interaction with the surroundings,,TRUE,,
id_0115,asize of the cell is approx. 0.01 μm (0 .005-0.12 μm),,FALSE,"Incorrect as stated because typical mammalian cells are on the order of ~10 µm (10⁻⁵ m), not ~0.01 µm (10⁻⁸ m).",
id_0116,asize of the cell is approx. 0.01 nm (0.005 -0.12 nm),,FALSE,Incorrect as stated because 0.01 nm is atomic-scale and far smaller than any cell.,
id_0117,asize of the cell is approx. 0.01 mm (0.005 -0.12 mm),,TRUE,,
id_0118,"basic features of living cells are metaboli sm, excitability , reprodu ction",,TRUE,,
id_0119,"basic features of living cell sare not metab olism, excitability, reproduction",,FALSE,"Incorrect as stated because metabolism, excitability (for many cells), and reproduction/growth are fundamental features of living cells.",
id_0120,the length of acell can be many times higher than the size of its cell body,,TRUE,,
id_0121,the length of acell can never be many times higher than the size of its cell body,,FALSE,"Incorrect as stated because some cells (e.g., neurons) have processes (axons) that can be orders of magnitude longer than the cell body.",
id_0122,air is not exchanged betwen the cell and the extracellul ar space,,TRUE,,
id_0123,oxygen is not exchanged betwen the cell and the extracellular space,,FALSE,Incorrect as stated because oxygen diffuses between extracellular fluid and cells and is continuously exchanged for metabolism.,
id_0124,oxygen is exchanged betwen the cell and the extracellular space,,TRUE,,
id_0125,heat is not exchanged betwen the cell and the extracellular space,,FALSE,Incorrect as stated because heat is exchanged between cells and extracellular space by conduction and convection.,
id_0126,heat is exchanged betwen the cell and the extracellular space,,TRUE,,
id_0127,the intracel lular space (cytopla sm) contain sparticularly (>100 mmol/liter ) H+ andK+,,FALSE,"Incorrect as stated because intracellularK⁺ is high (~100–150 mmol/L), but intracellularH⁺ concentration is extremely low (~40 nmol/Lat pH ~7.4), not >100 mmol/L.",
id_0128,the intracel lular space (cytopla sm) contain sparticularly (>100 mmol/liter ) Na+ and Ca+,,FALSE,"Incorrect as stated because intracellular Na⁺ is low (~5–15 mmol/L) and intracellular free Ca²⁺ is extremely low (~10⁻⁷ mol/L), not >100 mmol/L.",
id_0129,the extracel lular space (outside of the cell) contain sparticularly (> 100 mmol/liter ) Ca2+ andK+,,FALSE,"Incorrect as stated because extracellular Ca²⁺ is ~1–2 mmol/LandK⁺ is ~4–5 mmol/L, not >100 mmol/L.",
id_0130,the extracel lular space (outside of the cell ) contain sparticularly (> 100 mmol/liter ) Na+ and water,,TRUE,,
id_0131,the extracellular concentration of Na+ is several times higher than its intracellular concentration,,TRUE,,
id_0132,the extracellular concentration of Na+ is several times lower than its intracellular concentration,,FALSE,Incorrect as stated because extracellular Na⁺ concentration is higher (not lower) than intracellular Na⁺ in normal physiology.,
id_0133,intra- and extra -cellular concentrations of Cl- are identical,,FALSE,"Incorrect as stated because Cl⁻ is typically higher extracellularly than intracellularly, so the concentrations are not identical.",
id_0134,the extracellular concentration ofK+ is several times higher than its intracellular concentra tion,,FALSE,Incorrect as stated because intracellularK⁺ is much higher than extracellularK⁺; extracellularK⁺ is not higher.,
id_0135,the extracellular concentration ofK+ is several times lower than its intracellular concentration,,TRUE,,
id_0136,cholesterol is present in cell membranes,,TRUE,,
id_0137,cholesterol is not present in cell membranes,,FALSE,Incorrect as stated because cholesterol is amajor lipid component of animal cell membranes and modulates fluidity/permeability.,
id_0138,water is an eseential component of cell membranes,,FALSE,"Incorrect as stated because the membrane’sstructural matrix is primarily aphospholipid bilayer with proteins; water is the surrounding solvent, not an essential structural component of the membrane.",
id_0139,water is not an essential component of cell membranes,,TRUE,,
id_0140,prote ins are not present in cell membranes,,FALSE,"Incorrect as stated because membranes contain abundant proteins (channels, transporters, receptors, enzymes).",
id_0141,prote ins are present in cell membranes,,TRUE,,
id_0142,the cell membrane is built by one layer of phospholipidic cells,,FALSE,"Incorrect as stated because the plasma membrane is aphospholipid bilayer, not asingle layer.",
id_0143,asurface of cell membrane sis approx. 7.5 nm,,FALSE,"Incorrect as stated because 7.5 nm describes membrane thickness; membrane surface is an area (e.g., µm²), not alength in nm.",
id_0144,athickness of cell membrane sis approx. 7.5 nm,,TRUE,,
id_0145,athickness of cell membrane sis approx . 1/1000 of the size of the cell,,TRUE,,
id_0146,athickness of cell membrane sis approx . 1/10 of the size of the cell,,FALSE,"Incorrect as stated because membrane thickness (~7.5 nm) is roughly ~1/1000 of atypical cell diameter (~10 µm), not ~1/10.",
id_0147,membrane sof living cell sare electrical ly depolarized,,FALSE,"Incorrect as stated because living cells maintain an electrical polarization across the membrane (resting membrane potential), not depolarization as the baseline state.",
id_0148,membr anes of living cell sare electrically polarized,,TRUE,,
id_0149,"cell membranes contain mostly phospholipids , prote ins, molecules of sugar , cholesterol",,TRUE,,
id_0150,cell membrane sdo not contain phospholipids,,FALSE,Incorrect as stated because phospholipids are the main structural lipids forming the bilayer.,
id_0151,cell membrane sdo not contain saccharides,,FALSE,Incorrect as stated because carbohydrates are present on the extracellular membrane surface (glycoproteins/glycolipids; glycocalyx).,
id_0152,there are the intracellular membranes (cover ing the surface of organels) and plasmatic membranes (cover ing the cells ),,TRUE,,
id_0153,membr ane channels are built mostly by prote ine molecules,,TRUE,,
id_0154,membrane channels are not built by proteine molecules,,FALSE,Incorrect as stated because membrane channels are proteins (or protein complexes).,
id_0155,membr ane receptors might be made of glycoprotein molecules,,TRUE,,
id_0156,membrane receptors are never made of glycoprotein molecules,,FALSE,Incorrect as stated because many receptors are glycoproteins (protein with carbohydrate moieties).,
id_0157,"main functions of acellular membrane are : polariz ation , reprodu ction , and semipermeability",,FALSE,"Incorrect as stated because key membrane functions include barrier/compartmentalization, selective permeability/transport, electrical excitability, and signaling; reproduction is not aprimary membrane function.",
id_0158,semipermeability is an important feature of cell membranes,,TRUE,,
id_0159,polarization is an impo rtant feature of cell membranes,,TRUE,,
id_0160,cell mambrane sdo not contain genes,,TRUE,,
id_0161,cell mambrane scontain genes,,FALSE,"Incorrect as stated because genes (DNA) are located in the nucleus/mitochondria, not in the cell membrane.",
id_0162,the saline (physiological solution) is approx. 300 mOsm (300 mmol of particles / litre),,TRUE,,
id_0163,the saline (physiological solution) is approx. 300 Osm (300 mol of particles / lit re),,FALSE,"Incorrect as stated because physiological saline is ~300 mOsm (0.3 Osm), not 300 Osm.",
id_0164,the haemol ysis of RBCs ( erythrocyt es) is visible in each hypotonic environment,,FALSE,Incorrect as stated because mild hypotonicity causes swelling without necessarily causing visible hemolysis; hemolysis requires sufficiently low osmolarity to rupture RBCs.,
id_0165,the haemolysis of RBCs ( erythrocytes ) is visible in highly hypotonic solution,,TRUE,,
id_0166,RBCs ( erythrocytes ) shrink (reduce their volume) in strong hypotonic environment,,FALSE,"Incorrect as stated because in hypotonic solution RBCs take up water and swell (and may lyse), they do not shrink.",
id_0167,RBCs ( erythrocytes ) shrink (reduce their volume) in hypertonic environment,,TRUE,,
id_0168,the molar concentration of hypertonic solution is higher than the concentration of 0.9% NaCl (isotonic physiological solution - saline),,TRUE,,
id_0169,the molar concentration of hypertonic solution is lower than the concentration of 0.9% NaCl (isotonic physiological solution - saline),,FALSE,Incorrect as stated because ahypertonic solution has ahigher (not lower) osmolar/molar concentration than isotonic 0.9% NaCl.,
id_0170,the saline (physiological solution) is 9 gof NaCl / 100 ml of the solution,,FALSE,"Incorrect as stated because 0.9% saline is 0.9 g/100 ml (9 g/L), not 9 g/100 ml.",
id_0171,the saline (physiological solution) is 9 gof NaCl / 10 00 ml of the solution,,TRUE,,
id_0172,haemoly sed RBCs ( erythrocyt es) are observed as asediment ( after the sediment ation or centrifugation of samples ),,FALSE,Incorrect as stated because hemolyzed RBCs lose integrity and do not form an intact-cell sediment; hemoglobin remains in the supernatant.,
id_0173,RBCs ( erythrocytes ) are observed as asediment (after the sedimentation or centrifugation of samples ),,TRUE,,
id_0174,an oncotic pressure of protein srepresents the difference between the total osmotic pressure and the osmotic pressure of „low-molecules “ (particularly inorganic ) components in the blood plasma,,TRUE,,
id_0175,an oncotic pressure is manifested on the membrane permeable for water and small molecules,,TRUE,,
id_0176,an oncotic pressure is manifested on the membrane permeable for water and colloids,,FALSE,"Incorrect as stated because oncotic pressure requires colloids (proteins) to be effectively impermeable; if colloids cross freely, the oncotic gradient disappears.",
id_0177,an oncotic pressure is manifested on the membrane permeable for colloids,,FALSE,Incorrect as stated because oncotic pressure is not generated across membranes permeable to colloids; it depends on colloids being retained on one side.,
id_0178,edema occurs when oncotic pressure of plasma is too high,,FALSE,Incorrect as stated because high plasma oncotic pressure pulls water into the vascular space and counteracts edema formation.,
id_0179,edema occurs when oncotic pr essure of plasma is too low,,TRUE,,
id_0180,edema occurs when blood pressure is too low,,FALSE,Incorrect as stated because edema is promoted by increased capillary hydrostatic pressure or decreased oncotic pressure; low blood pressure does not drive fluid out of vessels.,
id_0181,edema occurs when blood pressure is high,,TRUE,,
id_0182,blood cells swell (expand their volume) in hypotonic solution,,TRUE,,
id_0183,blood cells swell (expand their volume) in isotonic solution,,FALSE,"Incorrect as stated because isotonic solution causes no net water movement, so RBC volume remains approximately unchanged.",
id_0184,blood cel ls swell (expand their volume) in hypertonic solution,,FALSE,"Incorrect as stated because hypertonic solution draws water out of cells, causing RBCs to shrink (crenate), not swell.",
id_0185,the ability of RBCs ( erythrocytes ) to withstand (to acertain degree) hypotonic environment is called osmotic resistance of RBCs ( erythrocytes ),,TRUE,,
id_0186,elasticity of cell membrane may contribute to osmotic resistance of RBCs ( erythrocytes ),,TRUE,,
id_0187,diffusion through membrane channels is acontinuous uninterrupted process,,TRUE,,
id_0188,diffusion through membrane channel scan be interrupted (reduced) by closing the channels,,TRUE,,
id_0189,diffusion through membrane channel sdoes not depend on the type of diffusing molecules,,FALSE,"Incorrect as stated because diffusion through membrane channels can be influenced by channel gating, membrane potential, and concentration gradients.",
id_0190,diffusion through membrane channel sdoes not depend on the type of the se channels,,FALSE,Incorrect as stated because diffusion through channels depends on the electrochemical gradient of the permeant ion or molecule.,
id_0191,diffusion through membrane channel sdepend son the type of diffusing molecules,,TRUE,,
id_0192,diffusion through membrane ch annel sdepend son the type of th ese channels,,TRUE,,
id_0193,membr ane transport is performede.g. by dif fusion,,TRUE,,
id_0194,membrane transport is performede.g. by facilitated diffusion,,TRUE,,
id_0195,carriers within the membrane facilitate the membrane transport for given substance (molecules),,TRUE,,
id_0196,carriers within the membrane reduce the membrane transport for given substance (molecules),,FALSE,Incorrect as stated because carriers facilitate (increase) specific transport; they do not inherently reduce transport.,
id_0197,"diffusion through membrane channels allows the penetration of ions, e.g. Na+, K+, Ca2+, Cl- across the membrane",,TRUE,,
id_0198,diffusion through membrane channels allows the penetration of macromolecules (e.g. proteins) across the membrane,,FALSE,Incorrect as stated because simple diffusion does not require carrier proteins; it occurs directly through the lipid bilayer.,
id_0199,facilitated diffusion allows the transport ofe.g. amino acid and protein molecules across the membrane,,FALSE,"Incorrect as stated because facilitated diffusion transports small or polar molecules (e.g., glucose, amino acids) but not large proteins across membranes.",
id_0200,diffusion through membrane channels is an active tran sport mechanism through cell membranes,,TRUE,,
id_0201,diffusion through the membrane channels is apassive transport mechanism through cell membranes,,FALSE,Incorrect as stated because active transport requires energy (often ATP) to move substances against their electrochemical gradient.,
id_0202,diffusion occurs because thermal (heat) movement of molecules,,TRUE,,
id_0203,diffusion is aspontaneous transport of the substance from the area of its lowe rconcentration to the area with its higher concentration,,FALSE,Incorrect as stated because passive transport occurs down the concentration/electrochemical gradient without energy expenditure.,
id_0204,diffusion is aspontaneous transport of the substance from the area of its higher concentration to the area with its lower concentration,,TRUE,,
id_0205,diffusion of the substance dissolved in the water depends on the membrane permeability to water molecules,,TRUE,,
id_0206,diffusion does not depend on the temperature,,FALSE,"Incorrect as stated because endocytosis and exocytosis are forms of vesicular (bulk) transport, not simple diffusion.",
id_0207,diffusion depends on the temperature,,TRUE,,
id_0208,an amount of diffused substance is proportional to the duration of diffusion,,TRUE,,
id_0209,an amount of diffused substance is not proportional to the duration of diffusion,,FALSE,Incorrect as stated because osmosis refers specifically to water movement across asemipermeable membrane driven by osmotic gradients.,
id_0210,an amount of diffused substance is proportional to the square of the surface area through which the substance diffuses,,TRUE,,
id_0211,an amount of diffused substance is proportional to the surface area through which the substance diffuses,,FALSE,"Incorrect as stated because the Na⁺/K⁺ pump moves 3 Na⁺ out and 2 K⁺ into the cell per ATP hydrolyzed, contributing to membrane potential.",
id_0212,an amount of diffused substance is inversely proportional to the concentration gradient,,TRUE,,
id_0213,an amount of diffused substance is proportional to the concentration gradient,,FALSE,"Incorrect as stated because secondary active transport uses the energy stored in an ion gradient (e.g., Na⁺ gradient), not direct ATP hydrolysis.",
id_0214,an amount of diffused substance is proportional to the distance which the substance must pass,,TRUE,,
id_0215,osmosis is reverse process to the difusion (the penetration and movement of the substance reversely than during the difusion),,TRUE,,
id_0216,osmosis requires some carriers for transport of substance sbeing dissolved,,FALSE,Incorrect as stated because uniport refers to transport of asingle substance; symport and antiport involve two substances.,
id_0217,osmosis is the diff usion being acting through the membrane,,TRUE,,
id_0218,osmosis is an active transport of water molecules only,,TRUE,,
id_0219,channels within the membrane control permeability of the membrane via opening and closing them according to the membrane potential or the receptor activity,,FALSE,"Incorrect as stated because hypertonic extracellular solution causes water efflux from the cell, leading to cell shrinkage.",
id_0220,osmosis is an active transport through cell membranes,,TRUE,,
id_0221,osmosis occurs because thermal (heat) movement of molecules,,FALSE,"Incorrect as stated because hypotonic extracellular solution causes water influx and cell swelling, not shrinkage.",
id_0222,the diffusion constant (coefficient) depends on both the composition and structure of the membrane and on the sort of diffused substance (e.g. gas),,TRUE,,
id_0223,"the diffusion constant (coefficient) depends on the sort of diffused substance , but not on the composition and structure of the membrane",,TRUE,,
id_0224,membr ane transports never work against concentration gradients,,FALSE,Incorrect as stated because ion channels allow passive transport down electrochemical gradients and do not require ATP directly.,
id_0225,membrane channels are classified as „ voltage“ or „ligand“ gated,,TRUE,,
id_0226,osmotic pressure depends on the mass of solution,,TRUE,,
